geo,year,geo_label,nuts_level,country_code,country_name,is_el_regional_unit,gdp_mio_eur,gdp_eur_hab,gfcf,gva,gva_sector_a,gva_sector_bde,gva_sector_c,gva_sector_f,gva_sector_ghij,gva_sector_ghi,gva_sector_j,gva_sector_klmn,gva_sector_k,gva_sector_l,gva_sector_mn,gva_sector_opqrstu,gva_sector_opq,gva_sector_rstu
AL01,2008,Veri,2,AL,Albania,0,2079.0,2300.0,,1803.0,442.03,230.92,104.96,258.2,423.96,345.84,78.12,221.53,34.96,143.95,42.62,226.38,197.82,28.56
AL01,2009,Veri,2,AL,Albania,0,2071.0,2400.0,,1792.0,433.96,245.84,110.7,240.37,420.26,347.22,73.03,205.57,29.09,136.66,39.82,246.56,213.75,32.81
AL01,2010,Veri,2,AL,Albania,0,2225.0,2600.0,,1934.0,490.27,298.49,129.02,243.4,405.55,341.04,64.51,209.44,29.81,133.35,46.28,286.89,222.54,64.35
AL01,2011,Veri,2,AL,Albania,0,2214.0,2600.0,,1925.0,491.77,251.29,137.63,293.28,381.37,349.73,31.64,223.86,33.02,134.8,56.04,284.39,230.53,53.87
AL01,2012,Veri,2,AL,Albania,0,2297.0,2700.0,,1990.0,556.43,252.5,126.94,270.33,397.13,367.99,29.14,246.28,38.4,141.29,66.58,267.85,237.67,30.18
AL01,2013,Veri,2,AL,Albania,0,2276.0,2700.0,,1986.0,576.48,279.0,135.55,250.29,356.41,329.06,27.35,249.67,35.35,150.9,63.41,274.16,243.7,30.46
AL01,2014,Veri,2,AL,Albania,0,2290.0,2700.0,,1999.0,600.84,286.78,158.9,195.72,373.98,335.22,38.76,262.52,41.03,150.15,71.34,279.3,243.76,35.55
AL01,2015,Veri,2,AL,Albania,0,2418.0,2900.0,,2124.0,597.47,349.37,168.37,213.83,406.3,361.04,45.26,277.96,45.55,150.37,82.04,279.41,243.43,35.98
AL01,2016,Veri,2,AL,Albania,0,2549.0,3100.0,,2235.0,622.69,380.22,181.43,231.2,433.0,392.42,40.58,275.3,42.54,153.74,79.02,292.94,254.28,38.66
AL01,2017,Veri,2,AL,Albania,0,2707.0,3300.0,,2364.0,621.24,395.89,208.95,238.61,450.86,408.59,42.27,320.91,67.31,159.53,94.07,337.07,290.64,46.43
AL01,2018,Veri,2,AL,Albania,0,2954.0,3600.0,,2584.0,670.16,465.24,237.77,228.16,499.48,457.1,42.38,353.53,71.84,168.38,113.31,367.88,317.37,50.51
AL01,2019,Veri,2,AL,Albania,0,3165.0,3900.0,,2766.0,699.8,481.2,268.94,232.54,563.73,516.09,47.64,391.91,75.87,188.31,127.74,397.55,349.92,47.63
AL01,2020,Veri,2,AL,Albania,0,2996.0,3700.0,,2627.0,688.48,417.12,235.72,236.11,514.12,463.15,50.96,389.24,76.11,199.4,113.72,382.31,335.97,46.34
