geo,year,geo_label,nuts_level,country_code,country_name,is_el_regional_unit,employees,self_employed,self_employed_with_employees,self_employed_without_employees,contributing_family_members,labour_force,long_term_unemployment,long_term_unemployment_rate,employment_part_time,employment_full_time,employment_part_time_pct,employment_full_time_pct,permanent_employment,permanent_employment_pct,temporary_employment,temporary_employment_pct,deprivation,housing,involuntary_part_time,involuntary_temporary,involuntary_temporary_pct,involuntary_part_time_pct,neets,neets_pop_prc,persons_low_work,persons_risk_poverty,fca_epl,fca_no_epl,empl_rate_ED0-2,empl_rate_ED3-4,empl_rate_ED5-8,skills_isco_0,skills_isco_4_5,skills_isco_9,skills_isco_6_8,skills_isco_1_3,skills_isco_1_3_pct,skills_isco_4_5_pct,skills_isco_6_8_pct,skills_isco_9_pct,sector_a,sector_bde,sector_c,sector_f,sector_g,sector_h,sector_i,sector_jklmnu,sector_opq,sector_rst,sector_a_pct,sector_bde_pct,sector_c_pct,sector_f_pct,sector_g_pct,sector_h_pct,sector_i_pct,sector_jklmnu_pct,sector_opq_pct,sector_rst_pct,sector_a_lq,sector_bde_lq,sector_c_lq,sector_f_lq,sector_g_lq,sector_h_lq,sector_i_lq,sector_jklmnu_lq,sector_opq_lq,sector_rst_lq,total_employment,total_employment_rate,unemployment,unemployment_rate,weekly_hours,youth_employment,youth_employment_rate,youth_long_term_unemployment_rate,youth_unemployment,youth_unemployment_rate
AL01,2017,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1693562.5,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,2018,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1488375.0,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,2019,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1479187.5,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,2020,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1151500.0,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,2021,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1212750.0,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,2022,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1179062.5,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL01,2023,Veri,2,AL,Albania,0,,,,,,,,,,,,,,,,,1111687.5,,,,,,,,518000.0,765187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2017,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1543500.0,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2018,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1439375.0,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2019,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1237250.0,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2020,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1166812.5,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2021,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1191312.5,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2022,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1148437.5,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL02,2023,Qender,2,AL,Albania,0,,,,,,,,,,,,,,,,,1074937.5,,,,,,,,322437.5,648375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2017,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1485312.5,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2018,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1365875.0,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2019,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1218875.0,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2020,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1261750.0,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2021,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1182125.0,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2022,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1071875.0,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL03,2023,Jug,2,AL,Albania,0,,,,,,,,,,,,,,,,,1010625.0,,,,,,,,234937.5,626937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
