geo,year,geo_label,nuts_level,country_code,country_name,is_el_regional_unit,arrivals,arrivals_per_person,arrivals_per_km2,establishments,bed_places,bed_places_per_1k_persons,bed_places_per_km2,establishments_per_1k_persons,establishments_per_km2,gfcf_sector_ghi,nights_spent,nights_spent_per_person,nights_spent_per_km2,short_stay,short_stay_per_person,short_stay_per_km2
AL01,2018,Veri,2,AL,Albania,0,291011.0,0.355,,516.0,36119.0,44.059,,0.629,,,915992.0,1.117,,,,
AL01,2019,Veri,2,AL,Albania,0,327752.0,0.403,,502.0,32623.0,40.089,,0.617,,,1078360.0,1.325,,,,
AL01,2020,Veri,2,AL,Albania,0,128180.0,0.159,,398.0,49145.0,61.073,,0.495,,,461798.0,0.574,,,,
AL01,2021,Veri,2,AL,Albania,0,328683.0,0.412,30.377,398.0,49145.0,61.589,4.542,0.499,0.037,,825761.0,1.035,76.318,,,
AL01,2022,Veri,2,AL,Albania,0,392259.0,0.5,36.253,424.0,29265.0,37.329,2.705,0.541,0.039,,981124.0,1.251,90.677,,,
AL01,2023,Veri,2,AL,Albania,0,600988.0,0.779,55.544,475.0,35251.0,45.72,3.258,0.616,0.044,,1560639.0,2.024,144.237,,,
AL01,2024,Veri,2,AL,Albania,0,668037.0,,61.741,540.0,35460.0,,3.277,,0.05,,1671619.0,,154.493,,,
AL02,2018,Qender,2,AL,Albania,0,468692.0,0.403,,383.0,19953.0,17.163,,0.329,,,1095904.0,0.943,,,,
AL02,2019,Qender,2,AL,Albania,0,459774.0,0.393,,399.0,21997.0,18.799,,0.341,,,1076512.0,0.92,,,,
AL02,2020,Qender,2,AL,Albania,0,245504.0,0.209,,467.0,22128.0,18.812,,0.397,,,488603.0,0.415,,,,
AL02,2021,Qender,2,AL,Albania,0,458645.0,0.389,92.338,467.0,22128.0,18.777,4.455,0.396,0.094,,1145547.0,0.972,230.632,,,
AL02,2022,Qender,2,AL,Albania,0,647353.0,0.549,130.331,480.0,39817.0,33.783,8.016,0.407,0.097,,1557837.0,1.322,313.637,,,
AL02,2023,Qender,2,AL,Albania,0,909889.0,0.772,183.187,,48184.0,40.904,9.701,,,,2243740.0,1.905,451.729,,,
AL02,2024,Qender,2,AL,Albania,0,1460328.0,,294.006,589.0,49133.0,,9.892,,0.119,,3148479.0,,633.879,,,
AL03,2018,Jug,2,AL,Albania,0,483058.0,0.544,,427.0,23485.0,26.447,,0.481,,,1062761.0,1.197,,,,
AL03,2019,Jug,2,AL,Albania,0,465970.0,0.53,,504.0,34327.0,39.073,,0.574,,,1098547.0,1.25,,,,
AL03,2020,Jug,2,AL,Albania,0,291496.0,0.337,,592.0,27094.0,31.322,,0.684,,,655043.0,0.757,,,,
AL03,2021,Jug,2,AL,Albania,0,443588.0,0.52,34.112,592.0,27094.0,31.75,2.084,0.694,0.046,,1214764.0,1.424,93.415,,,
AL03,2022,Jug,2,AL,Albania,0,530370.0,0.638,40.785,676.0,40334.0,48.537,3.102,0.813,0.052,,1292368.0,1.555,99.382,,,
AL03,2023,Jug,2,AL,Albania,0,825253.0,1.015,63.461,782.0,46263.0,56.92,3.558,0.962,0.06,,2203475.0,2.711,169.446,,,
AL03,2024,Jug,2,AL,Albania,0,1050076.0,,80.75,969.0,46619.0,,3.585,,0.075,,2625616.0,,201.908,,,
AT11,2008,Burgenland,2,AT,Austria,0,786623.0,2.8,,445.0,28934.0,102.976,,1.584,,190.0,2474767.0,8.808,,,,
AT11,2009,Burgenland,2,AT,Austria,0,798221.0,2.823,,453.0,29238.0,103.396,,1.602,,169.0,2529421.0,8.945,,,,
AT11,2010,Burgenland,2,AT,Austria,0,845241.0,2.979,,452.0,28399.0,100.103,,1.593,,158.0,2581588.0,9.1,,,,
AT11,2011,Burgenland,2,AT,Austria,0,840590.0,2.954,,439.0,27812.0,97.73,,1.543,,182.0,2607258.0,9.162,,,,
AT11,2012,Burgenland,2,AT,Austria,0,850474.0,2.976,,443.0,27875.0,97.539,,1.55,,210.0,2617668.0,9.16,,,,
AT11,2013,Burgenland,2,AT,Austria,0,837371.0,2.921,211.191,441.0,28646.0,99.919,7.225,1.538,0.111,164.0,2549486.0,8.893,642.998,,,
AT11,2014,Burgenland,2,AT,Austria,0,878605.0,3.057,221.59,438.0,28701.0,99.859,7.239,1.524,0.11,229.0,2617465.0,9.107,660.142,,,
AT11,2015,Burgenland,2,AT,Austria,0,888530.0,3.081,224.093,436.0,28414.0,98.538,7.166,1.512,0.11,259.0,2621950.0,9.093,661.274,,,
AT11,2016,Burgenland,2,AT,Austria,0,963304.0,3.31,242.952,427.0,28252.0,97.082,7.125,1.467,0.108,237.0,2785313.0,9.571,702.475,,,
AT11,2017,Burgenland,2,AT,Austria,0,964866.0,3.305,243.346,427.0,28293.0,96.913,7.136,1.463,0.108,272.0,2781046.0,9.526,701.399,,,
AT11,2018,Burgenland,2,AT,Austria,0,962773.0,3.29,242.879,418.0,27551.0,94.135,6.95,1.428,0.105,283.0,2732386.0,9.336,689.3,74375.0,0.254,18.763
AT11,2019,Burgenland,2,AT,Austria,0,1008015.0,3.435,254.292,412.0,27404.0,93.391,6.913,1.404,0.104,338.0,2807665.0,9.568,708.291,100861.0,0.344,25.444
AT11,2020,Burgenland,2,AT,Austria,0,651267.0,2.212,164.295,410.0,27748.0,94.241,7.0,1.392,0.103,381.0,1990790.0,6.761,502.217,84180.0,0.286,21.236
AT11,2021,Burgenland,2,AT,Austria,0,703910.0,2.378,177.576,412.0,27912.0,94.294,7.041,1.392,0.104,454.0,2186092.0,7.385,551.486,90489.0,0.306,22.828
AT11,2022,Burgenland,2,AT,Austria,0,929686.0,3.124,234.532,428.0,28292.0,95.073,7.137,1.438,0.108,558.0,2610132.0,8.771,658.459,132308.0,0.445,33.377
AT11,2023,Burgenland,2,AT,Austria,0,1045486.0,3.47,263.745,427.0,62626.0,207.887,15.799,1.417,0.108,,2842291.0,9.435,717.026,156940.0,0.521,39.591
AT11,2024,Burgenland,2,AT,Austria,0,1105626.0,3.662,278.917,455.0,62579.0,207.249,15.787,1.507,0.115,,2983732.0,9.882,752.707,169161.0,0.56,42.674
AT12,2008,Niederösterreich,2,AT,Austria,0,2191796.0,1.374,,1461.0,65045.0,40.768,,0.916,,2595.0,5901719.0,3.699,,,,
AT12,2009,Niederösterreich,2,AT,Austria,0,2112161.0,1.318,,1464.0,66420.0,41.436,,0.913,,2378.0,5813863.0,3.627,,,,
AT12,2010,Niederösterreich,2,AT,Austria,0,2157002.0,1.343,,1439.0,66540.0,41.435,,0.896,,1840.0,5861712.0,3.65,,,,
AT12,2011,Niederösterreich,2,AT,Austria,0,2254364.0,1.401,,1154.0,67959.0,42.224,,0.717,,2306.0,6021715.0,3.741,,,,
AT12,2012,Niederösterreich,2,AT,Austria,0,2265791.0,1.403,,1470.0,68803.0,42.617,,0.911,,1940.0,6085526.0,3.769,,,,
AT12,2013,Niederösterreich,2,AT,Austria,0,2193818.0,1.355,114.386,1487.0,69154.0,42.725,3.606,0.919,0.078,1808.0,5910564.0,3.652,308.179,,,
AT12,2014,Niederösterreich,2,AT,Austria,0,2269664.0,1.396,118.341,1476.0,68541.0,42.166,3.574,0.908,0.077,1912.0,6066275.0,3.732,316.298,,,
AT12,2015,Niederösterreich,2,AT,Austria,0,2350628.0,1.436,122.563,1459.0,68399.0,41.789,3.566,0.891,0.076,2031.0,6124107.0,3.742,319.313,,,
AT12,2016,Niederösterreich,2,AT,Austria,0,2418567.0,1.463,126.105,1429.0,68714.0,41.552,3.583,0.864,0.075,2397.0,6213061.0,3.757,323.951,,,
AT12,2017,Niederösterreich,2,AT,Austria,0,2621401.0,1.574,136.681,1434.0,67465.0,40.501,3.518,0.861,0.075,2612.0,6491384.0,3.897,338.463,,,
