indicator,Best_MAPE,Best_RMSE,Best_MAE,Best_R2,Better,Model
gdp_eur_hab,3.376309409416651,1875.8542438281888,1019.1138528037392,0.9922704298203564,Single,ensemble
gdp_mio_eur,7.56383306951071,7295.495611416037,3334.008503985588,0.9927662597915878,Single,ensemble
gfcf,7.187805311813053,798.6685975602816,562.3062218208951,0.9825522988534254,Multi,ensemble
gva,7.755415552025201,9236.708139724264,3603.05504569225,0.9856991040895828,Single,ensemble
gva_sector_a,12.95722086075742,183.1882231670124,119.84721434942384,0.9693046463634089,Single,ensemble
gva_sector_bde,8.727083804043463,813.4351270703065,526.6201762800116,0.991689175141764,Single,ensemble
gva_sector_c,14.775174288837547,1051.9579512058726,541.4745555192005,0.959764482912674,Single,ensemble
gva_sector_f,11.34613325424877,328.45754041059115,186.29129376194732,0.9920401500164224,Single,ensemble
gva_sector_ghi,5.841126265949534,717.0975515493323,437.7853348003825,0.9966401736400726,Multi,ensemble
gva_sector_ghij,7.368607941123215,7509.229854009709,1766.216526013982,0.904289274943284,Multi,ensemble
gva_sector_j,6.093983000164385,318.1578934941272,127.07478418785,0.9936269990699536,Single,ensemble
gva_sector_k,12.137249494114014,977.7753500048558,426.8883081182624,0.9568718914421264,Single,ensemble
gva_sector_klmn,3.970016733232642,1513.6647299763267,613.9625376614562,0.9928286439999314,Single,ensemble
gva_sector_l,4.752530868824474,560.9768459506706,249.71130253941797,0.9911003100901774,Single,ensemble
gva_sector_mn,5.936755413197534,409.4278265156528,201.4484283891072,0.995844938843734,Single,ensemble
gva_sector_opq,8.315553104742946,379.7432993878871,240.1592417409297,0.9931721814141112,Multi,ensemble
gva_sector_opqrstu,5.882756330641532,544.2978524114627,361.8991096212856,0.9966830840270132,Multi,ensemble
gva_sector_rstu,6.26610556530718,770.6221374679983,211.0691321731055,0.9108536786236427,Single,ensemble
gdp_eur_hab,3.3343945125832435,1464.2715633676448,968.5969232752389,0.9952902221703364,Single,linear
gdp_mio_eur,9.32462980615765,4943.414202645544,2446.554603485185,0.9966787060957872,Single,linear
gfcf,7.159164346368045,506.8422609957942,400.5673282885599,0.9929733125704522,Multi,linear
gva,9.66737882455428,3957.5028848087713,2234.416024937937,0.9973747462728452,Single,linear
gva_sector_a,13.308474092402005,159.34478937920048,115.35959274313538,0.976775130965143,Single,linear
gva_sector_bde,9.74486077683982,823.4822918380133,553.2355489336645,0.9914826045093862,Single,linear
gva_sector_c,16.833428099506044,909.6173565190868,486.9133538185466,0.9699163655368576,Single,linear
gva_sector_f,10.684150614326876,510.1097180893672,213.61598823105697,0.9808012212103996,Single,linear
gva_sector_ghi,7.769731686797697,4242.918224767224,1169.6481588118922,0.8823776974378371,Single,linear
gva_sector_ghij,9.517315343652474,1453.1580140825722,822.0702480955687,0.9964157731177437,Multi,linear
gva_sector_j,8.668895381661807,705.4754540249269,206.91035862025612,0.9686655271946532,Single,linear
gva_sector_k,11.978118925747811,503.7186264275756,224.3949090860194,0.9885538808068342,Single,linear
gva_sector_klmn,4.054200315349803,729.8987080396313,418.79415283048206,0.9983324952139984,Single,linear
gva_sector_l,4.334952027464317,205.2072018137401,121.99780763362348,0.9988091139745188,Single,linear
gva_sector_mn,6.075636854083828,342.67836088962235,202.3109012981934,0.9970893092190136,Single,linear
gva_sector_opq,6.4021685542149225,630.3461166543814,282.97080587847046,0.9811869201905098,Multi,linear
gva_sector_opqrstu,8.441944138982933,521.9302919699245,340.96624440187577,0.9969500955413456,Multi,linear
gva_sector_rstu,4.296562555312466,241.034358663168,78.26181774072157,0.9912787572737984,Single,linear
gdp_eur_hab,7.535556866855213,2706.568104445672,2074.883282696759,0.9839085535797152,Single,timesfm
gdp_mio_eur,9.63480717390014,10905.580677389493,6421.707133510657,0.9838359235332578,Single,timesfm
gfcf,13.929595229096831,1256.1491553143414,1052.0209272460938,0.9568394055910148,Single,timesfm
gva,97.55984813349504,98192.44308459116,63369.72528665108,-0.6161621623423865,Single,timesfm
gva_sector_a,13.474383323708183,254.7273478145065,152.97174626668297,0.9406489114999578,Single,timesfm
gva_sector_bde,10.819090831243225,1356.670736441447,879.5690233357747,0.9768821629087192,Single,timesfm
gva_sector_c,10.231518932502096,776.2280160764155,478.72807320561895,0.978092568980758,Single,timesfm
gva_sector_f,13.62399078439368,466.0965916955498,317.2383014339871,0.983971301335845,Single,timesfm
gva_sector_ghi,16.229979817434554,4166.0834611966375,1818.5215070564516,0.8865991562135518,Single,timesfm
gva_sector_ghij,14.548685762470912,5030.46549947943,2056.678481241862,0.9570477261673682,Single,timesfm
gva_sector_j,11.99950935980974,468.905329051705,234.0040591529108,0.9861570416025188,Single,timesfm
gva_sector_k,18.687981978731784,824.0066289964228,398.1399361099735,0.9693702357396112,Single,timesfm
gva_sector_klmn,10.129095323772704,3050.648667589866,1294.1360683186847,0.9708709522160984,Single,timesfm
gva_sector_l,8.246575070747781,486.8963049944655,274.6935998141381,0.9932956302220388,Single,timesfm
gva_sector_mn,14.881621245352566,601.3917279785027,377.56876403808576,0.9910352618486588,Single,timesfm
gva_sector_opq,11.484796596844928,856.0007690620005,534.1277252984047,0.9653063458902028,Single,timesfm
gva_sector_opqrstu,8.977312258629224,1074.501703215573,579.7423184286582,0.987073663876828,Single,timesfm
gva_sector_rstu,14.83311982203393,649.4973453722957,238.0331307491179,0.9366749959857696,Single,timesfm
gdp_eur_hab,4.849898170262079,4532.846831208217,1636.0923755787037,0.9548664751365996,Single,xgboost
gdp_mio_eur,6.853256765250373,19176.85612868631,5330.062364544785,0.9500186334027976,Multi,xgboost
gfcf,16.82004905643979,1412.8469625433834,972.8500917968752,0.9453996734114422,Single,xgboost
gva,8.373826469937677,17609.949139626988,4832.877353601289,0.9480189549115856,Multi,xgboost
gva_sector_a,12.192704584521682,212.39022261321523,127.3861970541212,0.9587383509418552,Multi,xgboost
gva_sector_bde,11.403777565699205,1191.5870583906703,779.3623089517333,0.9821659557490532,Single,xgboost
gva_sector_c,20.27468370307841,1328.898985949586,766.2114103795743,0.9357908728911994,Single,xgboost
gva_sector_f,17.206841068192773,1099.259137154459,392.4407393462316,0.9108448205723418,Single,xgboost
gva_sector_ghi,9.636810133235398,3085.483828580718,1339.1207528551165,0.937797634203878,Multi,xgboost
gva_sector_ghij,10.322953058436385,8713.952790261335,2691.2704984537754,0.8711156411251777,Single,xgboost
gva_sector_j,10.389197072506564,698.8556308612364,310.5021315928621,0.9692508217363992,Single,xgboost
gva_sector_k,16.08198533594327,1255.5211720330428,488.93617719358,0.9288900579709478,Single,xgboost
gva_sector_klmn,6.425427155360722,2608.9866382506884,1100.5523675402667,0.9786948003149196,Single,xgboost
gva_sector_l,8.40442287696023,1887.329439232104,617.1396757962625,0.8992649907426911,Single,xgboost
gva_sector_mn,9.867357768520394,586.4885340498022,328.8507084175848,0.9914740700413692,Single,xgboost
gva_sector_opq,13.338812791399649,575.6540875155783,366.5962925910949,0.984309928591078,Multi,xgboost
gva_sector_opqrstu,13.563619224640952,2343.867710309288,811.5699869516734,0.9384925927414968,Single,xgboost
gva_sector_rstu,10.777678026803011,1344.6388721346927,381.5015733093552,0.7285862850225624,Single,xgboost
