indicator,Best_MAPE,Best_RMSE,Best_MAE,Best_R2,Better,Model
gdp_eur_hab,3.021732198817818,1265.3135736648992,846.2219651059418,0.9944616698018184,Single,ensemble
gdp_mio_eur,5.607685558050389,3155.5055490630134,1996.793301520276,0.996156427911456,Single,ensemble
gfcf,6.541571999095384,686.0243467455274,333.42145332129974,0.9957262522073944,Single,ensemble
gva,6.217048591539688,3285.946474483588,1789.578591202914,0.9949428087387108,Single,ensemble
gva_sector_a,171.44679354280385,516.2615046764499,134.38967512463788,0.9027403881798594,Single,ensemble
gva_sector_bde,8.964122379393983,881.959255435862,584.1312516775788,0.991538117449422,Single,ensemble
gva_sector_c,18.82085087471666,1656.0290068794618,945.7307505317676,0.957486812572943,Multi,ensemble
gva_sector_f,10.82728604687897,218.2453038655994,145.014773578634,0.9927580780307934,Single,ensemble
gva_sector_ghi,6.652810419487071,936.7698907318024,583.3496867611103,0.992065858994692,Single,ensemble
gva_sector_ghij,9.053502397321306,1423.2968600047495,761.6827482005018,0.9867143188960508,Single,ensemble
gva_sector_j,7.771227121076432,398.64309774770913,149.5463295603717,0.98495900419392,Single,ensemble
gva_sector_k,87.11188561744015,567.2854948288503,221.01200343707444,0.9480599839274284,Single,ensemble
gva_sector_klmn,5.911835458621296,744.4720093149905,423.7808568917629,0.9968433600731892,Single,ensemble
gva_sector_l,11.736694485262497,442.65808929657226,264.43144807517126,0.9947639444245364,Multi,ensemble
gva_sector_mn,12.21414012661696,418.56392404928937,228.4114340784183,0.9934607438017587,Single,ensemble
gva_sector_opq,9.8221732327763,631.3162540889625,317.0675066634803,0.9940916163116404,Single,ensemble
gva_sector_opqrstu,11.978610447016118,895.2304490361485,423.297926725274,0.99192850923808,Single,ensemble
gva_sector_rstu,7.677582039975221,483.3957416789493,130.74092925792226,0.9485966485046794,Single,ensemble
gdp_eur_hab,3.087350406424843,1241.7191814932717,832.7454867809189,0.994666291324926,Single,linear
gdp_mio_eur,6.280509468768648,2727.6800860854296,1719.1449113077415,0.9971280028763948,Single,linear
gfcf,9.143540045589402,549.4378545867081,316.1836966264858,0.9972586342216516,Single,linear
gva,7.354056599944454,2384.350027506466,1444.126392758594,0.9973372620298022,Single,linear
gva_sector_a,173.0025777877426,168.401066282666,83.51010266317307,0.989651373321412,Single,linear
gva_sector_bde,8.022696857493496,747.0871619868926,515.6817521175349,0.9939282693723536,Single,linear
gva_sector_c,34.03877760558083,2859.5036610893394,1615.225877227483,0.8732438318093362,Multi,linear
gva_sector_f,14.369795440268804,206.818623632452,129.09290672352526,0.9934965573727216,Single,linear
gva_sector_ghi,7.244668842703082,1129.3913463870224,628.4070083713964,0.9884675128530782,Single,linear
gva_sector_ghij,12.616766353604657,1163.145756354885,653.3170623543198,0.9911271912114475,Single,linear
gva_sector_j,9.063411901448326,177.0062598297839,97.08815537554136,0.9970345859344524,Single,linear
gva_sector_k,166.3499033337991,407.0547805289525,164.7714083334955,0.973257349984924,Single,linear
gva_sector_klmn,4.694851204852908,654.414997021987,383.696006305412,0.9975608709168376,Single,linear
gva_sector_l,18.19519312761786,765.1405324700143,461.5658493872969,0.9843559262370688,Multi,linear
gva_sector_mn,17.512948086536305,198.5486152772371,133.15419610391336,0.9985285737819538,Single,linear
gva_sector_opq,17.260321648296582,376.9544900155066,270.37292336475736,0.997893543039728,Single,linear
gva_sector_opqrstu,20.544130841969046,675.5209221218365,386.92887877347584,0.9954041941615044,Single,linear
gva_sector_rstu,10.166025448089538,282.6365376187266,89.7921940985413,0.9824271418360476,Single,linear
gdp_eur_hab,8.305158309513878,2472.8827206165097,2080.0978323514346,0.9788461436446204,Single,timesfm
gdp_mio_eur,8.618606171723199,7986.132295244422,4696.173419139424,0.9753810154929408,Single,timesfm
gfcf,7.439036282723589,930.4363646024576,568.8062080908604,0.9921385404686112,Single,timesfm
gva,8.872098405194736,7338.665786163525,4387.492238529393,0.9747754963879344,Single,timesfm
gva_sector_a,178.2888391299696,342.3496343285082,183.34037179290272,0.9572306369161302,Single,timesfm
gva_sector_bde,8.1223980921519,1225.0919290187271,796.7396924628586,0.9836729656582264,Single,timesfm
gva_sector_c,6.867656160529897,959.4706080069876,556.9954267032813,0.9857291073636772,Single,timesfm
gva_sector_f,11.123484554852215,397.8288639229758,255.58680898072288,0.9759366213347508,Single,timesfm
gva_sector_ghi,10.849520092272614,2023.0362469447875,1087.014484863281,0.9629966199695696,Single,timesfm
gva_sector_ghij,10.741466513703005,2454.354982546619,1283.6081888567817,0.960493587456012,Single,timesfm
gva_sector_j,9.329831044355172,212.62784438384304,119.82955998280006,0.9957209401101562,Single,timesfm
gva_sector_k,13.834985958873114,738.0993132872977,286.7934106317113,0.9120717713637904,Single,timesfm
gva_sector_klmn,8.88955400432001,1798.256164518195,867.4374857267786,0.981582468837072,Single,timesfm
gva_sector_l,6.834181765673042,465.41878761330594,234.0475126491609,0.9942116436696798,Single,timesfm
gva_sector_mn,10.30540189174144,468.24139443766734,266.7389433013416,0.991816400372528,Single,timesfm
gva_sector_opq,8.13432478285017,784.8755421936945,484.7066953565253,0.990867780517753,Single,timesfm
gva_sector_opqrstu,8.47872275835093,1355.6451266922718,700.0900464742693,0.9814912922515802,Single,timesfm
gva_sector_rstu,10.710955194248896,496.89078543325024,177.45700557083373,0.9456865135725646,Single,timesfm
gdp_eur_hab,3.4689786257217143,1690.7676348199193,1007.0998335040985,0.9901110458611746,Single,xgboost
gdp_mio_eur,6.081979448478212,8489.215635390532,3202.0187973272605,0.9721815924742914,Multi,xgboost
gfcf,8.787262986045004,2204.498725120737,682.2975070378213,0.9558684139740794,Single,xgboost
gva,6.305932622825984,7770.991117614329,2795.9737226142256,0.971715973579671,Multi,xgboost
gva_sector_a,170.69743055889603,963.444822970034,196.2293045093974,0.6612753981007855,Multi,xgboost
gva_sector_bde,9.0863427652858,1317.9685819597416,852.6419673131724,0.9811035569068502,Multi,xgboost
gva_sector_c,10.458191168472435,1060.5907863435104,585.5845729503696,0.982562529408662,Single,xgboost
gva_sector_f,12.949113372492146,660.4326040182917,269.25422774017835,0.9336835856236956,Multi,xgboost
