geo,indicator,forecast_year,forecast_value,model_used
AL01,gdp_eur_hab,2023,5046.299264059289,Single
AL02,gdp_eur_hab,2023,7543.514318400489,Single
AL03,gdp_eur_hab,2023,5414.078370649848,Single
ATZZ,gdp_eur_hab,2023,3582.452673676895,Single
BEZZ,gdp_eur_hab,2023,3582.452673676895,Single
CH01,gdp_eur_hab,2023,81463.08523046755,Single
CH02,gdp_eur_hab,2023,75885.15660963583,Single
CH03,gdp_eur_hab,2023,92708.68173088916,Single
CH04,gdp_eur_hab,2023,98112.45953821753,Single
CH05,gdp_eur_hab,2023,67520.14395547024,Single
CH06,gdp_eur_hab,2023,81559.64035404497,Single
CH07,gdp_eur_hab,2023,93349.6728401878,Single
DKZZ,gdp_eur_hab,2023,3582.452673676895,Single
ESZZ,gdp_eur_hab,2023,3582.452673676895,Single
FIZZ,gdp_eur_hab,2023,3582.452673676895,Single
FRZZ,gdp_eur_hab,2023,3582.452673676895,Single
HUZZ,gdp_eur_hab,2023,3582.452673676895,Single
ITZZ,gdp_eur_hab,2023,3582.452673676895,Single
LVZZ,gdp_eur_hab,2023,3582.452673676895,Single
MTZZ,gdp_eur_hab,2023,3582.452673676895,Single
NLZZ,gdp_eur_hab,2023,3582.452673676895,Single
NO02,gdp_eur_hab,2023,43775.68716458703,Single
NO06,gdp_eur_hab,2023,55340.97744685307,Single
NO07,gdp_eur_hab,2023,52682.614036207866,Single
NO08,gdp_eur_hab,2023,69141.26508140369,Single
NO09,gdp_eur_hab,2023,47269.76975872807,Single
NO0A,gdp_eur_hab,2023,64414.40079799341,Single
NO0B,gdp_eur_hab,2023,3582.452673676895,Single
NOZZ,gdp_eur_hab,2023,3582.452673676895,Single
PLZZ,gdp_eur_hab,2023,3582.452673676895,Single
PTZZ,gdp_eur_hab,2023,3582.452673676895,Single
ROZZ,gdp_eur_hab,2023,3582.452673676895,Single
RSZZ,gdp_eur_hab,2023,3582.452673676895,Single
SEZZ,gdp_eur_hab,2023,3582.452673676895,Single
AL01,gdp_mio_eur,2023,3232.129111556725,Single
AL02,gdp_mio_eur,2023,6586.9409942316315,Single
AL03,gdp_mio_eur,2023,3524.785248518922,Single
CH01,gdp_mio_eur,2023,104405.32103498296,Single
CH02,gdp_mio_eur,2023,121824.88582307068,Single
CH03,gdp_mio_eur,2023,82646.70346993287,Single
CH04,gdp_mio_eur,2023,145060.12317959225,Single
CH05,gdp_mio_eur,2023,67060.7960531069,Single
