geo,indicator,forecast_year,forecast_value,model_used
AL01,gdp_eur_hab,2023,4556.535539837328,Single
AL02,gdp_eur_hab,2023,6183.763988363478,Single
AL03,gdp_eur_hab,2023,5292.0937530184465,Single
ATZZ,gdp_eur_hab,2023,1628.8423590725397,Single
BEZZ,gdp_eur_hab,2023,1628.8423590725397,Single
CH01,gdp_eur_hab,2023,72620.99858593509,Single
CH02,gdp_eur_hab,2023,69138.28196927166,Single
CH03,gdp_eur_hab,2023,78740.22283677831,Single
CH04,gdp_eur_hab,2023,89547.77845143506,Single
CH05,gdp_eur_hab,2023,66466.25666094049,Single
CH06,gdp_eur_hab,2023,72814.10883308995,Single
CH07,gdp_eur_hab,2023,80022.20505537561,Single
DKZZ,gdp_eur_hab,2023,1628.8423590725397,Single
ESZZ,gdp_eur_hab,2023,1628.8423590725397,Single
FIZZ,gdp_eur_hab,2023,1628.8423590725397,Single
FRZZ,gdp_eur_hab,2023,1628.8423590725397,Single
HUZZ,gdp_eur_hab,2023,1628.8423590725397,Single
ITZZ,gdp_eur_hab,2023,1628.8423590725397,Single
LVZZ,gdp_eur_hab,2023,1628.8423590725397,Single
MTZZ,gdp_eur_hab,2023,1628.8423590725397,Single
NLZZ,gdp_eur_hab,2023,1628.8423590725397,Single
NO02,gdp_eur_hab,2023,41794.647766674054,Single
NO06,gdp_eur_hab,2023,50368.09161245613,Single
NO07,gdp_eur_hab,2023,47797.86869741573,Single
NO08,gdp_eur_hab,2023,68182.17078780736,Single
NO09,gdp_eur_hab,2023,45281.48482995614,Single
NO0A,gdp_eur_hab,2023,61173.15315848682,Single
NO0B,gdp_eur_hab,2023,1628.8423590725397,Single
NOZZ,gdp_eur_hab,2023,1628.8423590725397,Single
PLZZ,gdp_eur_hab,2023,1628.8423590725397,Single
PTZZ,gdp_eur_hab,2023,1628.8423590725397,Single
ROZZ,gdp_eur_hab,2023,1628.8423590725397,Single
RSZZ,gdp_eur_hab,2023,1628.8423590725397,Single
SEZZ,gdp_eur_hab,2023,1628.8423590725397,Single
AL01,gdp_mio_eur,2023,2618.48087936345,Single
AL02,gdp_mio_eur,2023,4246.443511900763,Single
AL03,gdp_mio_eur,2023,3212.727723600344,Single
CH01,gdp_mio_eur,2023,91343.11081996592,Single
CH02,gdp_mio_eur,2023,102040.89664614137,Single
CH03,gdp_mio_eur,2023,74316.39912736573,Single
CH04,gdp_mio_eur,2023,116749.77760918447,Single
CH05,gdp_mio_eur,2023,59351.18585621381,Single
CH06,gdp_mio_eur,2023,44790.75654234353,Single
CH07,gdp_mio_eur,2023,20931.698976610478,Single
NO02,gdp_mio_eur,2023,15361.575570676363,Single
NO06,gdp_mio_eur,2023,21348.430142268484,Single
NO07,gdp_mio_eur,2023,22685.98267777731,Single
NO08,gdp_mio_eur,2023,113877.01055698015,Single
NO09,gdp_mio_eur,2023,28477.940499048622,Single
NO0A,gdp_mio_eur,2023,76668.15510613902,Single
NO0B,gdp_mio_eur,2023,748.3703613482566,Single
NOZZ,gdp_mio_eur,2023,0.0,Single
PLZZ,gdp_mio_eur,2023,408.21766694819235,Single
AL01,gfcf,2023,552.1915918122093,Multi
AL02,gfcf,2023,939.3290926195355,Multi
AL03,gfcf,2023,686.3244586780228,Multi
AT11,gfcf,2023,2735.216998456114,Multi
AT12,gfcf,2023,19007.393345958375,Multi
AT13,gfcf,2023,29365.563995850454,Multi
AT21,gfcf,2023,7672.669444786809,Multi
AT22,gfcf,2023,15311.197500119335,Multi
AT31,gfcf,2023,20342.251736372364,Multi
AT32,gfcf,2023,9018.252446974502,Multi
AT33,gfcf,2023,10266.56938820984,Multi
AT34,gfcf,2023,5184.063258046692,Multi
ATZZ,gfcf,2023,134.18783479357035,Multi
BE10,gfcf,2023,21565.160954083887,Multi
BE21,gfcf,2023,28943.326596106945,Multi
BE22,gfcf,2023,8857.586694152531,Multi
BE23,gfcf,2023,18097.746698270646,Multi
BE24,gfcf,2023,14972.426678762095,Multi
BE25,gfcf,2023,15673.93865762353,Multi
BE31,gfcf,2023,8579.083908542034,Multi
BE32,gfcf,2023,8459.940302803037,Multi
BE33,gfcf,2023,9001.953771161412,Multi
BE34,gfcf,2023,2444.9921607041756,Multi
BE35,gfcf,2023,3673.58072956551,Multi
BEZZ,gfcf,2023,210.38837452685587,Multi
BG31,gfcf,2023,1570.3741277315876,Multi
BG32,gfcf,2023,1599.1524842717274,Multi
BG33,gfcf,2023,2147.048457858411,Multi
BG34,gfcf,2023,2814.267093584335,Multi
BG41,gfcf,2023,10079.635661252076,Multi
BG42,gfcf,2023,2899.4133814336424,Multi
CH01,gfcf,2023,26848.929440827786,Multi
CH02,gfcf,2023,32123.657761295162,Multi
CH03,gfcf,2023,25174.866866663524,Multi
CH04,gfcf,2023,27267.92903300712,Multi
CH05,gfcf,2023,21588.74448054753,Multi
CH06,gfcf,2023,14593.796501603294,Multi
CH07,gfcf,2023,5158.89148353096,Multi
DE11,gfcf,2023,66378.68565047158,Multi
DE12,gfcf,2023,35343.58020980777,Multi
DE13,gfcf,2023,26043.777438641497,Multi
DE14,gfcf,2023,26143.998404613063,Multi
DE21,gfcf,2023,94589.18038253604,Multi
DE22,gfcf,2023,14340.97848802873,Multi
DE23,gfcf,2023,14160.019075755643,Multi
DE24,gfcf,2023,10852.70080088078,Multi
DE25,gfcf,2023,23981.442487200704,Multi
DE26,gfcf,2023,14172.784916573144,Multi
DE27,gfcf,2023,21815.16610370489,Multi
DE30,gfcf,2023,33156.60896565062,Multi
DE40,gfcf,2023,22660.513092803667,Multi
DE50,gfcf,2023,7530.318718417184,Multi
DE60,gfcf,2023,31257.44722692878,Multi
DE71,gfcf,2023,53640.24754245109,Multi
DE72,gfcf,2023,9682.21076169941,Multi
DE73,gfcf,2023,11591.15915536375,Multi
DE80,gfcf,2023,13120.794483952874,Multi
DE91,gfcf,2023,27869.40659466594,Multi
DE92,gfcf,2023,28766.97807276562,Multi
DE93,gfcf,2023,16418.646712201335,Multi
DE94,gfcf,2023,33514.56750687066,Multi
DEA1,gfcf,2023,44116.179262063975,Multi
DEA2,gfcf,2023,44119.81744142261,Multi
DEA3,gfcf,2023,22012.70200272557,Multi
DEA4,gfcf,2023,19613.34316653033,Multi
DEA5,gfcf,2023,27640.968088343678,Multi
DEB1,gfcf,2023,14341.155750974734,Multi
DEB2,gfcf,2023,5628.2196226438855,Multi
DEB3,gfcf,2023,25864.969920293832,Multi
DEC0,gfcf,2023,7882.961391398445,Multi
DED2,gfcf,2023,14966.13366698622,Multi
DED4,gfcf,2023,11621.013289337701,Multi
DED5,gfcf,2023,9762.586667700245,Multi
DEE0,gfcf,2023,17155.933561237423,Multi
DEF0,gfcf,2023,26679.72380052632,Multi
DEG0,gfcf,2023,16950.770257551027,Multi
DK01,gfcf,2023,35968.27830703872,Multi
DK02,gfcf,2023,8142.042502379728,Multi
DK03,gfcf,2023,15599.65648128874,Multi
DK04,gfcf,2023,19890.44498130506,Multi
DK05,gfcf,2023,7200.873449176837,Multi
DKZZ,gfcf,2023,1808.1251017628779,Multi
EL30,gfcf,2023,14253.184380548828,Multi
EL41,gfcf,2023,266.37900682918394,Multi
EL42,gfcf,2023,1399.3077431861834,Multi
EL43,gfcf,2023,2501.833580960672,Multi
EL51,gfcf,2023,1786.7273220618995,Multi
EL52,gfcf,2023,4926.502753421671,Multi
EL53,gfcf,2023,953.1481779808614,Multi
EL54,gfcf,2023,1219.0513096756417,Multi
EL61,gfcf,2023,2187.0620750419216,Multi
EL62,gfcf,2023,804.2188213171509,Multi
EL63,gfcf,2023,1960.4064357716359,Multi
EL64,gfcf,2023,2887.72031868666,Multi
EL65,gfcf,2023,2178.66374320239,Multi
ES11,gfcf,2023,14200.598394699,Multi
ES12,gfcf,2023,5733.212530274867,Multi
ES13,gfcf,2023,3686.4489218296176,Multi
ES21,gfcf,2023,15775.286760707544,Multi
ES22,gfcf,2023,5525.862443808592,Multi
ES23,gfcf,2023,2009.0484498232881,Multi
ES24,gfcf,2023,10702.822598880823,Multi
ES30,gfcf,2023,67317.77158217136,Multi
ES41,gfcf,2023,14224.9519815291,Multi
ES42,gfcf,2023,11392.559316448636,Multi
ES43,gfcf,2023,5929.425341960675,Multi
ES51,gfcf,2023,54614.44629903042,Multi
ES52,gfcf,2023,28166.58728383908,Multi
ES53,gfcf,2023,7371.916113889307,Multi
ES61,gfcf,2023,35768.76158042303,Multi
ES62,gfcf,2023,8506.909123455242,Multi
ES63,gfcf,2023,402.07017887134083,Multi
ES64,gfcf,2023,328.20483280526264,Multi
ES70,gfcf,2023,7633.66889474101,Multi
ESZZ,gfcf,2023,503.67529572814084,Multi
FI19,gfcf,2023,14509.366516710326,Multi
FI1B,gfcf,2023,30362.713927580196,Multi
FI1C,gfcf,2023,11319.806811113447,Multi
FI1D,gfcf,2023,14314.225763379429,Multi
FI20,gfcf,2023,0.0,Multi
FIZZ,gfcf,2023,139.48759138408138,Multi
HU11,gfcf,2023,15060.585885455048,Multi
HU12,gfcf,2023,5684.104606095447,Multi
HU21,gfcf,2023,6129.286788533901,Multi
HU22,gfcf,2023,4848.414747320068,Multi
HU23,gfcf,2023,4891.017478032579,Multi
HU31,gfcf,2023,5199.473560570285,Multi
HU32,gfcf,2023,6231.449658753227,Multi
HU33,gfcf,2023,5597.390161439945,Multi
HUZZ,gfcf,2023,138.16518763348358,Multi
IE04,gfcf,2023,10089.92652658,Multi
IE05,gfcf,2023,82460.86934263843,Multi
IE06,gfcf,2023,68942.2958157139,Multi
ITC1,gfcf,2023,42924.45073710814,Multi
ITC2,gfcf,2023,1091.8693473374583,Multi
ITC3,gfcf,2023,12566.347711206834,Multi
ITC4,gfcf,2023,103023.57624751139,Multi
ITF1,gfcf,2023,8752.475852842832,Multi
ITF2,gfcf,2023,2077.7972444866878,Multi
ITF3,gfcf,2023,23868.3518006348,Multi
ITF4,gfcf,2023,17731.47183199263,Multi
ITF5,gfcf,2023,3904.7882611931104,Multi
ITF6,gfcf,2023,7696.091979602679,Multi
ITG1,gfcf,2023,18319.981345550994,Multi
ITG2,gfcf,2023,8523.556718929294,Multi
ITH1,gfcf,2023,7948.3905284330285,Multi
ITH2,gfcf,2023,5711.601288413621,Multi
ITH3,gfcf,2023,44073.527414083146,Multi
ITH4,gfcf,2023,10269.176605334222,Multi
ITH5,gfcf,2023,45790.99285786727,Multi
ITI1,gfcf,2023,26830.791942117117,Multi
ITI2,gfcf,2023,5907.371546016384,Multi
ITI3,gfcf,2023,9627.224888464996,Multi
ITI4,gfcf,2023,49481.49900510002,Multi
ITZZ,gfcf,2023,931.4112397417334,Multi
LT01,gfcf,2023,7716.868675150589,Multi
LT02,gfcf,2023,9593.558233142705,Multi
LVZZ,gfcf,2023,135.08904990507307,Multi
MK00,gfcf,2023,3620.770504139465,Multi
MTZZ,gfcf,2023,137.54357367390045,Multi
NL11,gfcf,2023,7206.2070277508055,Multi
NL12,gfcf,2023,7503.328932791464,Multi
NL13,gfcf,2023,4836.046360269232,Multi
NL21,gfcf,2023,13004.255879669816,Multi
NL22,gfcf,2023,25043.9152523717,Multi
NL23,gfcf,2023,5518.3432992377275,Multi
NL32,gfcf,2023,39128.76031088573,Multi
NL34,gfcf,2023,6008.466761399501,Multi
NL41,gfcf,2023,34010.84766905426,Multi
NL42,gfcf,2023,12586.434647591304,Multi
NLZZ,gfcf,2023,1339.2602312452514,Multi
NO02,gfcf,2023,3550.494329187286,Multi
NO06,gfcf,2023,6059.5811313134745,Multi
NO07,gfcf,2023,5752.9498122575205,Multi
NO08,gfcf,2023,31743.57938471284,Multi
NO09,gfcf,2023,6961.169270875416,Multi
NO0A,gfcf,2023,26367.77496033525,Multi
NO0B,gfcf,2023,232.5493454499558,Multi
NOZZ,gfcf,2023,53554.3276972052,Multi
PL21,gfcf,2023,11405.604037061004,Multi
PL22,gfcf,2023,18225.62832787337,Multi
PL41,gfcf,2023,14375.78505539447,Multi
PL42,gfcf,2023,6605.002062319456,Multi
PL43,gfcf,2023,3847.6553547316635,Multi
PL51,gfcf,2023,13415.327942184116,Multi
PL52,gfcf,2023,3725.3447541936425,Multi
PL61,gfcf,2023,6752.522609864705,Multi
PL62,gfcf,2023,4398.307958967285,Multi
PL63,gfcf,2023,9123.519450757512,Multi
PL71,gfcf,2023,9537.399723666365,Multi
PL72,gfcf,2023,3765.602892932258,Multi
PL81,gfcf,2023,6128.017615863142,Multi
PL82,gfcf,2023,6855.074026131874,Multi
PL84,gfcf,2023,4325.101367780102,Multi
PL91,gfcf,2023,26946.387862054897,Multi
PL92,gfcf,2023,9756.011339525969,Multi
PLZZ,gfcf,2023,138.16518763348358,Multi
PT11,gfcf,2023,17120.639288216466,Multi
PT15,gfcf,2023,2210.039578060076,Multi
PT20,gfcf,2023,1212.1928184174883,Multi
PT30,gfcf,2023,1573.1097675016579,Multi
