indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
gdp_eur_hab,16.6159657490393,3.087350406424843,9824.803590992602,1241.7191814932717,4681.494799188052,832.7454867809189,0.6660893543712125,0.9946662913249259,-13.528615342614456,Single
gdp_mio_eur,81.83995926570105,6.280509468768648,14659.45609062346,2727.6800860854296,5703.978003215691,1719.1449113077415,0.9170468564544505,0.9971280028763949,-75.55944979693241,Single
gfcf,16.791261199671997,9.143540045589402,1671.5144832260744,549.4378545867081,896.9253327473159,316.1836966264858,0.974628267749252,0.9972586342216516,-7.647721154082595,Single
gva,95.04614294007003,7.354056599944454,13497.022928543094,2384.350027506466,5012.248598768507,1444.126392758594,0.9146773411778335,0.9973372620298022,-87.69208634012557,Single
gva_sector_a,531.0623244658166,173.0025777877426,2192.1504961747337,168.401066282666,645.6140850532461,83.51010266317307,-0.7536130894085253,0.9896513733214121,-358.059746678074,Single
gva_sector_bde,30.868486468209017,8.022696857493496,5233.976585894902,747.0871619868926,2319.7961772147164,515.6817521175349,0.7019881731216588,0.9939282693723537,-22.84578961071552,Single
gva_sector_c,34.03877760558083,75.4233733714662,2859.5036610893394,712.218642251744,1615.225877227483,421.8654823685586,0.8732438318093362,0.992136525867899,41.384595765885365,Multi
gva_sector_f,42.540622172729506,14.369795440268804,947.0321499489286,206.818623632452,575.2031880315943,129.09290672352526,0.8636379657020857,0.9934965573727217,-28.170826732460707,Single
gva_sector_ghi,18.969524609098034,7.244668842703082,5518.341742774338,1129.3913463870224,2320.9461589199864,628.4070083713964,0.7246714471338782,0.9884675128530782,-11.724855766394953,Single
gva_sector_ghij,98.78304910874978,12.616766353604655,5549.099972722078,1163.145756354885,2273.3036191476067,653.3170623543198,0.7980527518155076,0.9911271912114475,-86.16628275514512,Single
gva_sector_j,29.81593023356332,9.063411901448326,600.4869452601134,177.0062598297839,314.4827999768049,97.08815537554135,0.9658716546690856,0.9970345859344525,-20.752518332114995,Single
gva_sector_k,2682.8663573575895,166.3499033337991,1477.3939442945698,407.0547805289525,628.3051015056019,164.7714083334955,0.6477172720443722,0.9732573499849239,-2516.51645402379,Single
gva_sector_klmn,279.7317671229821,4.694851204852908,1782.302842858855,654.414997021987,945.9958541383136,383.69600630541197,0.9819078034378399,0.9975608709168376,-275.0369159181292,Single
gva_sector_l,18.19519312761786,22.37439422545399,765.1405324700143,309.8328358958789,461.5658493872969,164.94248460928262,0.9843559262370687,0.9974347935597837,4.179201097836133,Multi
gva_sector_mn,178.72649602133654,17.512948086536305,1095.1545025870125,198.5486152772371,557.5842286784222,133.15419610391336,0.9552332515768138,0.9985285737819538,-161.21354793480026,Single
gva_sector_opq,52.23184158914185,17.260321648296582,1401.5375475898397,376.9544900155066,781.0285024058612,270.37292336475736,0.970880479268004,0.9978935430397281,-34.97151994084526,Single
gva_sector_opqrstu,56.79399041227822,20.544130841969046,1588.079502254125,675.5209221218365,835.4562024423561,386.92887877347584,0.9746003025179104,0.9954041941615045,-36.24985957030917,Single
gva_sector_rstu,13.807819954353523,10.166025448089538,302.82967986968083,282.6365376187266,131.41952170916147,89.7921940985413,0.9798264341542028,0.9824271418360477,-3.6417945062639845,Single
