geo,indicator,forecast_year,forecast_value,model_used
AL01,gdp_eur_hab,2023,6483.759,Single
AL02,gdp_eur_hab,2023,8383.197,Single
AL03,gdp_eur_hab,2023,6483.759,Single
ATZZ,gdp_eur_hab,2023,6483.759,Single
BEZZ,gdp_eur_hab,2023,6483.759,Single
CH01,gdp_eur_hab,2023,79275.16,Single
CH02,gdp_eur_hab,2023,70064.53,Single
CH03,gdp_eur_hab,2023,88455.08,Single
CH04,gdp_eur_hab,2023,88455.08,Single
CH05,gdp_eur_hab,2023,70064.53,Single
CH06,gdp_eur_hab,2023,79275.16,Single
CH07,gdp_eur_hab,2023,88455.08,Single
DKZZ,gdp_eur_hab,2023,6483.759,Single
ESZZ,gdp_eur_hab,2023,6483.759,Single
FIZZ,gdp_eur_hab,2023,6483.759,Single
FRZZ,gdp_eur_hab,2023,6483.759,Single
HUZZ,gdp_eur_hab,2023,6483.759,Single
ITZZ,gdp_eur_hab,2023,6483.759,Single
LVZZ,gdp_eur_hab,2023,6483.759,Single
MTZZ,gdp_eur_hab,2023,6483.759,Single
NLZZ,gdp_eur_hab,2023,6483.759,Single
NO02,gdp_eur_hab,2023,42907.527,Single
NO06,gdp_eur_hab,2023,62987.387,Single
NO07,gdp_eur_hab,2023,60465.387,Single
NO08,gdp_eur_hab,2023,72912.2,Single
NO09,gdp_eur_hab,2023,50664.855,Single
NO0A,gdp_eur_hab,2023,67702.42,Single
NO0B,gdp_eur_hab,2023,6483.759,Single
NOZZ,gdp_eur_hab,2023,6483.759,Single
PLZZ,gdp_eur_hab,2023,6483.759,Single
PTZZ,gdp_eur_hab,2023,6483.759,Single
ROZZ,gdp_eur_hab,2023,6483.759,Single
RSZZ,gdp_eur_hab,2023,6483.759,Single
SEZZ,gdp_eur_hab,2023,6483.759,Single
AL01,gdp_mio_eur,2023,3942.2922,Multi
AL02,gdp_mio_eur,2023,7527.8486,Multi
AL03,gdp_mio_eur,2023,4175.4478,Multi
CH01,gdp_mio_eur,2023,120360.555,Multi
CH02,gdp_mio_eur,2023,139197.62,Multi
CH03,gdp_mio_eur,2023,90659.914,Multi
CH04,gdp_mio_eur,2023,141266.22,Multi
CH05,gdp_mio_eur,2023,72559.18,Multi
CH06,gdp_mio_eur,2023,60650.953,Multi
CH07,gdp_mio_eur,2023,29565.96,Multi
NO02,gdp_mio_eur,2023,18218.088,Multi
NO06,gdp_mio_eur,2023,26177.02,Multi
NO07,gdp_mio_eur,2023,26992.781,Multi
NO08,gdp_mio_eur,2023,148424.75,Multi
NO09,gdp_mio_eur,2023,32071.766,Multi
NO0A,gdp_mio_eur,2023,82410.99,Multi
NO0B,gdp_mio_eur,2023,227.53778,Multi
NOZZ,gdp_mio_eur,2023,59194.57,Multi
PLZZ,gdp_mio_eur,2023,23.357725,Multi
AL01,gfcf,2023,705.0987,Single
AL02,gfcf,2023,705.0987,Single
AL03,gfcf,2023,705.0987,Single
AT11,gfcf,2023,2835.9736,Single
AT12,gfcf,2023,18448.486,Single
AT13,gfcf,2023,24602.111,Single
AT21,gfcf,2023,7650.9277,Single
AT22,gfcf,2023,14191.989,Single
AT31,gfcf,2023,17307.81,Single
AT32,gfcf,2023,9554.683,Single
AT33,gfcf,2023,10180.552,Single
AT34,gfcf,2023,4568.2676,Single
ATZZ,gfcf,2023,705.0987,Single
BE10,gfcf,2023,19435.885,Single
BE21,gfcf,2023,24561.365,Single
BE22,gfcf,2023,10278.876,Single
BE23,gfcf,2023,14922.148,Single
BE24,gfcf,2023,14196.024,Single
BE25,gfcf,2023,14838.499,Single
BE31,gfcf,2023,5182.677,Single
BE32,gfcf,2023,9925.274,Single
BE33,gfcf,2023,9867.714,Single
BE34,gfcf,2023,1701.7992,Single
BE35,gfcf,2023,4567.618,Single
BEZZ,gfcf,2023,705.0987,Single
BG31,gfcf,2023,705.0987,Single
BG32,gfcf,2023,705.0987,Single
BG33,gfcf,2023,976.0754,Single
BG34,gfcf,2023,1213.0382,Single
BG41,gfcf,2023,9303.175,Single
BG42,gfcf,2023,1566.796,Single
CH01,gfcf,2023,705.0987,Single
CH02,gfcf,2023,705.0987,Single
CH03,gfcf,2023,705.0987,Single
CH04,gfcf,2023,705.0987,Single
CH05,gfcf,2023,705.0987,Single
CH06,gfcf,2023,705.0987,Single
CH07,gfcf,2023,705.0987,Single
DE11,gfcf,2023,62416.742,Single
DE12,gfcf,2023,26646.91,Single
DE13,gfcf,2023,22771.268,Single
DE14,gfcf,2023,22771.268,Single
DE21,gfcf,2023,62416.742,Single
DE22,gfcf,2023,12748.687,Single
DE23,gfcf,2023,13548.489,Single
DE24,gfcf,2023,10326.569,Single
DE25,gfcf,2023,22771.268,Single
DE26,gfcf,2023,12200.233,Single
DE27,gfcf,2023,22809.818,Single
DE30,gfcf,2023,24602.111,Single
DE40,gfcf,2023,22462.057,Single
DE50,gfcf,2023,8073.302,Single
DE60,gfcf,2023,33896.477,Single
DE71,gfcf,2023,34835.66,Single
DE72,gfcf,2023,9817.704,Single
DE73,gfcf,2023,10476.376,Single
DE80,gfcf,2023,12206.397,Single
DE91,gfcf,2023,22469.584,Single
DE92,gfcf,2023,22408.924,Single
DE93,gfcf,2023,14964.44,Single
DE94,gfcf,2023,23481.568,Single
DEA1,gfcf,2023,34835.66,Single
DEA2,gfcf,2023,34835.66,Single
DEA3,gfcf,2023,22741.143,Single
DEA4,gfcf,2023,15164.311,Single
DEA5,gfcf,2023,24561.365,Single
DEB1,gfcf,2023,13292.106,Single
DEB2,gfcf,2023,4626.115,Single
DEB3,gfcf,2023,21547.99,Single
DEC0,gfcf,2023,9558.474,Single
DED2,gfcf,2023,12774.583,Single
DED4,gfcf,2023,10411.88,Single
DED5,gfcf,2023,9786.6045,Single
DEE0,gfcf,2023,14711.399,Single
DEF0,gfcf,2023,22772.408,Single
DEG0,gfcf,2023,15048.171,Single
DK01,gfcf,2023,28051.422,Single
DK02,gfcf,2023,9621.6455,Single
DK03,gfcf,2023,14085.509,Single
DK04,gfcf,2023,14523.619,Single
DK05,gfcf,2023,9632.616,Single
DKZZ,gfcf,2023,705.0987,Single
EL30,gfcf,2023,18871.428,Single
EL41,gfcf,2023,705.0987,Single
EL42,gfcf,2023,1193.9498,Single
EL43,gfcf,2023,1717.0945,Single
EL51,gfcf,2023,1351.5798,Single
EL52,gfcf,2023,8547.858,Single
EL53,gfcf,2023,1473.4773,Single
EL54,gfcf,2023,1104.1898,Single
EL61,gfcf,2023,1612.2993,Single
EL62,gfcf,2023,705.0987,Single
EL63,gfcf,2023,1729.3765,Single
EL64,gfcf,2023,1618.4946,Single
EL65,gfcf,2023,1604.6111,Single
ES11,gfcf,2023,14268.459,Single
ES12,gfcf,2023,9586.757,Single
ES13,gfcf,2023,5912.419,Single
ES21,gfcf,2023,15946.937,Single
ES22,gfcf,2023,5906.909,Single
ES23,gfcf,2023,2042.6301,Single
ES24,gfcf,2023,10257.247,Single
ES30,gfcf,2023,62416.742,Single
ES41,gfcf,2023,18233.193,Single
ES42,gfcf,2023,11796.059,Single
ES43,gfcf,2023,8303.478,Single
ES51,gfcf,2023,62416.742,Single
ES52,gfcf,2023,56949.117,Single
ES53,gfcf,2023,9820.528,Single
ES61,gfcf,2023,62416.742,Single
ES62,gfcf,2023,9755.675,Single
ES63,gfcf,2023,705.0987,Single
ES64,gfcf,2023,705.0987,Single
ES70,gfcf,2023,9807.88,Single
ESZZ,gfcf,2023,705.0987,Single
FI19,gfcf,2023,14489.839,Single
FI1B,gfcf,2023,26779.387,Single
FI1C,gfcf,2023,10721.901,Single
FI1D,gfcf,2023,13435.853,Single
FI20,gfcf,2023,705.0987,Single
FIZZ,gfcf,2023,705.0987,Single
HU11,gfcf,2023,12630.964,Single
HU12,gfcf,2023,3124.6943,Single
HU21,gfcf,2023,4567.618,Single
HU22,gfcf,2023,4567.618,Single
HU23,gfcf,2023,3696.4033,Single
HU31,gfcf,2023,4002.667,Single
HU32,gfcf,2023,4349.624,Single
