geo,indicator,forecast_2023,model_used
AL01,gdp_mio_eur,3147.637250933498,Single
AL02,gdp_mio_eur,6510.654922446723,Single
AL03,gdp_mio_eur,3532.652999765509,Single
CH01,gdp_mio_eur,106016.36965615678,Single
CH02,gdp_mio_eur,121707.32186485134,Single
CH03,gdp_mio_eur,83338.85980062417,Single
CH04,gdp_mio_eur,140906.30114257452,Single
CH05,gdp_mio_eur,68811.20127249372,Single
CH06,gdp_mio_eur,54495.88613110433,Single
CH07,gdp_mio_eur,24183.208693938366,Single
NO02,gdp_mio_eur,17186.095464318205,Single
NO06,gdp_mio_eur,22871.910332226413,Single
NO07,gdp_mio_eur,24289.86512071774,Single
NO08,gdp_mio_eur,129248.94224097319,Single
NO09,gdp_mio_eur,30603.54786180869,Single
NO0A,gdp_mio_eur,80294.0900298651,Single
NO0B,gdp_mio_eur,423.0190102504714,Single
NOZZ,gdp_mio_eur,43209.81381381395,Single
PLZZ,gdp_mio_eur,173.25651296152793,Single
AL01,gdp_eur_hab,4744.250781931459,Single
AL02,gdp_eur_hab,7113.0345935143205,Single
AL03,gdp_eur_hab,5160.975130652899,Single
ATZZ,gdp_eur_hab,2865.9622365977657,Single
BEZZ,gdp_eur_hab,2865.9622365977657,Single
CH01,gdp_eur_hab,78975.5360382236,Single
CH02,gdp_eur_hab,73665.98330568761,Single
CH03,gdp_eur_hab,89324.45967656694,Single
CH04,gdp_eur_hab,96166.20733944539,Single
CH05,gdp_eur_hab,66449.71577551868,Single
CH06,gdp_eur_hab,79144.49485243723,Single
CH07,gdp_eur_hab,89500.48441732419,Single
DKZZ,gdp_eur_hab,2865.9622365977657,Single
ESZZ,gdp_eur_hab,2865.9622365977657,Single
FIZZ,gdp_eur_hab,2865.9622365977657,Single
FRZZ,gdp_eur_hab,2865.9622365977657,Single
HUZZ,gdp_eur_hab,2865.9622365977657,Single
ITZZ,gdp_eur_hab,2865.9622365977657,Single
LVZZ,gdp_eur_hab,2865.9622365977657,Single
MTZZ,gdp_eur_hab,2865.9622365977657,Single
NLZZ,gdp_eur_hab,2865.9622365977657,Single
NO02,gdp_eur_hab,43872.34843276755,Single
NO06,gdp_eur_hab,54544.40211552883,Single
NO07,gdp_eur_hab,52046.03168404153,Single
NO08,gdp_eur_hab,68289.61186021156,Single
NO09,gdp_eur_hab,46953.732190926065,Single
NO0A,gdp_eur_hab,63064.811540895884,Single
NO0B,gdp_eur_hab,2865.9622365977657,Single
NOZZ,gdp_eur_hab,2865.9622365977657,Single
PLZZ,gdp_eur_hab,2865.9622365977657,Single
PTZZ,gdp_eur_hab,2865.9622365977657,Single
ROZZ,gdp_eur_hab,2865.9622365977657,Single
RSZZ,gdp_eur_hab,2865.9622365977657,Single
SEZZ,gdp_eur_hab,2865.9622365977657,Single
AL01,gfcf,1055.5031972984245,Multi
AL02,gfcf,1289.7730964283478,Multi
AL03,gfcf,1031.7240770672672,Multi
AT11,gfcf,2633.9853902590107,Multi
AT12,gfcf,17056.313635151717,Multi
AT13,gfcf,26217.39178610153,Multi
AT21,gfcf,6936.394893054289,Multi
AT22,gfcf,14245.89784838367,Multi
AT31,gfcf,19259.613254649918,Multi
AT32,gfcf,7815.372231095075,Multi
AT33,gfcf,8908.667044383168,Multi
AT34,gfcf,5307.501242780128,Multi
ATZZ,gfcf,180.39992066388916,Multi
BE10,gfcf,23905.741206647046,Multi
BE21,gfcf,25766.053483525837,Multi
BE22,gfcf,8295.020713119864,Multi
BE23,gfcf,16422.775012438826,Multi
BE24,gfcf,14314.925149789797,Multi
BE25,gfcf,14138.219115352611,Multi
BE31,gfcf,6499.5797960892605,Multi
BE32,gfcf,8719.086043095187,Multi
BE33,gfcf,8589.502473294553,Multi
BE34,gfcf,2216.1304913875456,Multi
BE35,gfcf,3947.0734214817553,Multi
BEZZ,gfcf,217.8133516738602,Multi
BG31,gfcf,1251.6227311157563,Multi
BG32,gfcf,1276.2408236843626,Multi
BG33,gfcf,1839.6183310524689,Multi
BG34,gfcf,2213.929547992377,Multi
BG41,gfcf,8741.040392870893,Multi
BG42,gfcf,2470.8241745030077,Multi
CH01,gfcf,28088.46565705502,Multi
CH02,gfcf,31763.228568719496,Multi
CH03,gfcf,24612.660084223095,Multi
CH04,gfcf,33462.53915197899,Multi
CH05,gfcf,21814.6638136689,Multi
CH06,gfcf,16444.9396623653,Multi
CH07,gfcf,9404.381529313552,Multi
DE11,gfcf,58889.03729545504,Multi
DE12,gfcf,38527.38376278284,Multi
DE13,gfcf,23986.323731325567,Multi
DE14,gfcf,23804.780953917467,Multi
DE21,gfcf,75645.87586648365,Multi
DE22,gfcf,13145.19009816388,Multi
DE23,gfcf,13937.827638358336,Multi
DE24,gfcf,9855.680981546242,Multi
DE25,gfcf,23278.510704969533,Multi
DE26,gfcf,14766.475096555378,Multi
DE27,gfcf,21679.1654975527,Multi
DE30,gfcf,39563.52622851927,Multi
DE40,gfcf,20273.869453915475,Multi
DE50,gfcf,7345.622679194712,Multi
DE60,gfcf,36959.19659022974,Multi
DE71,gfcf,54605.41137320232,Multi
DE72,gfcf,8460.094330283191,Multi
DE73,gfcf,10244.476476085663,Multi
DE80,gfcf,12409.551707734008,Multi
DE91,gfcf,23389.817927430555,Multi
DE92,gfcf,24671.205284930427,Multi
DE93,gfcf,14250.431590677981,Multi
DE94,gfcf,26359.54416764898,Multi
DEA1,gfcf,51180.34126078987,Multi
