indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
STR_accommodation_beds,21.17313417361061,14.721516459061391,532713.9399598102,401184.15638643265,311179.09210123663,234821.5314684031,0.6795835964961108,0.8182752142904668,-6.451617714549221,Single
employment_accommodation_catering,37.51796401635437,51.64075233851424,112379.75500496812,962248.4510379588,72409.26666358778,559915.1180159708,0.9789998502528043,-0.5396452660268671,14.122788322159874,Multi
employment_other,19.306052513420624,4.64576969584218,3123804.175585808,1431102.6855919787,1814606.897202811,827964.0343191504,0.9212805555636567,0.9834782513194773,-14.660282817578443,Single
employment_total,26.101376864145948,4.143835224787709,3235469.960274664,730184.9560336802,1887016.1628818524,424955.9603050822,0.926191626689536,0.9962407894413743,-21.95754163935824,Single
employment_total_greece,31.25000000012181,31.25000000012181,37030838.50873088,37030838.50873088,21379764.58133333,21379764.58133333,-0.5000000000000002,-0.5000000000000002,0.0,Single
expenditure_per_overnight_stay,35.49398640840462,11.19171866606698,94.66864264369985,114.4108562933946,78.05197437342609,72.64620323901937,0.9820799234038144,0.9738264860485943,-24.302267742337648,Single
guest_beds,17.902633106026276,14.346226537976392,193583.11361295547,263421.5188785991,115544.27030421379,152331.4276004775,0.8430609155021016,0.709397950895527,-3.556406568049883,Single
guest_beds_per_km2,71.03215430850565,4.719337838503169,168.20824030295458,21.823325457092462,107.98813753540959,12.765605304048947,-0.7751206454497492,0.9701203711229218,-66.31281647000249,Single
guest_beds_per_person,53.131510879304535,28.742440023205123,0.24248690559042596,0.07553719099540228,0.19857765678758707,0.06804498487516415,-0.5117987191551434,0.8532969809359828,-24.38907085609941,Single
hotels_avg_duration_of_stay_domestic,40.98061761456957,8.923946598569147,18.093907559185062,4.397632194610789,10.64934968407472,2.5614838408519165,-0.7837225870010831,0.8946340264781434,-32.056671016000415,Single
hotels_avg_duration_of_stay_foreign,49.911030583984875,11.574181590642473,20.887384464686235,6.432189129980818,12.750318565146612,3.7697237052619066,-0.9127213059201087,0.818615076685465,-38.33684899334241,Single
hotels_avg_duration_of_stay_total,38.47451835206579,6.7588539854614025,20.119882140617428,3.7514623537889045,11.829196402572302,2.185935740580128,-0.8964679782285554,0.9340680630559506,-31.71566436660439,Single
hotels_domestic_arrivals,10.600450570179769,10.413934002993184,1852209.4297071083,2596516.665087531,1092262.9558609698,1512973.148491892,0.9697763621454397,0.9406051508401233,-0.18651656718658427,Single
hotels_domestic_overnights,19.172237902186918,10.99441419108329,10815876.63179758,7055894.410005973,6299520.891945793,4093808.5894034677,0.728230791921788,0.8843405973339268,-8.177823711103628,Single
hotels_foreign_arrivals,19.784493314526195,35.30797534799663,16251848.836205311,24593941.888971608,9432618.030833332,14380432.463740638,0.6790062576697886,0.26489851035452117,15.523482033470435,Multi
hotels_foreign_overnights,6.042519698624852,18.788635017532165,5470614.490663343,31129804.53687119,3398088.355097169,18350540.24029865,0.9924655022939861,0.7560308744858975,12.746115318907314,Multi
hotels_total_arrivals,11.902360364374644,19.488163688807568,14399990.12288607,24745265.691303983,8367129.725530242,14312312.944350885,0.8659775293176446,0.6042349182803057,7.585803324432925,Multi
hotels_total_arrivals_per_km2,73.6578630457816,12.059559728052042,12281.181260083438,3110.9795977657514,7371.931703469322,1804.7120576074649,-0.43254193948860853,0.9080775928110717,-61.59830331772957,Single
hotels_total_arrivals_per_person,55.855789175140124,8.804946632981236,13.62335259650688,2.595074106496009,9.94301480819812,1.7320447826372625,-1.5675498926397888,0.9068355067428454,-47.05084254215889,Single
hotels_total_overnights,6.607210812515478,7.899948130674193,16275647.281406648,11471192.623591553,9595082.909566728,6729018.616890974,0.962201123089511,0.9812232898520071,1.2927373181587154,Multi
land_area,441.1004221405791,5.555555987953673,355300.25829964323,5868.159227714037,208707.4367798519,3387.983313544753,-198.93740815851615,0.9454610477275658,-435.54486615262545,Single
population,22.550107630530135,33.45009173160462,5750533.084789334,34960313.94725537,3357660.4811502774,20184713.669124834,0.9589394482049812,-0.5176066344632011,10.899984101074484,Multi
receipts,17.742723682902938,12.458302326377446,10656.630273089717,3589.5016848582172,6303.554766950644,2134.6931148034923,0.9089755878189607,0.9896727091274924,-5.28442135652549,Single
rooms,23.373946718703262,34.74815005858118,149816.5246406293,329265.53440009145,88497.5773695666,190488.6296316801,0.6497056181564427,-0.6920230797754583,11.374203339877917,Multi
short_stay_total_arrivals,53.19781864323674,7.045346044383445,3924811.0799455256,599668.3175842863,2347068.1553856633,350023.009046655,-0.7239101265284464,0.9597561690966556,-46.152472598853294,Single
short_stay_total_arrivals_per_km2,92.03580018831818,8.702227510547027,1039.6408960212332,170.58504991046763,681.9254244761095,99.88404916566202,-0.8344680811991676,0.9506115514598834,-83.33357267777116,Single
short_stay_total_arrivals_per_person,72.63051538966448,28.779498526494706,1.5435396364711322,0.6672568236510498,1.320953737565002,0.5339388733557534,0.024620866338924463,0.8177263309957739,-43.85101686316977,Single
short_stay_total_overnights,16.881728738549718,2.9774737790453667,3468475.1792551437,744371.6420834672,2262510.142752214,461717.3992539071,0.7671835892760489,0.9892770063960937,-13.90425495950435,Single
turnover_accommodation,28.397319039847012,17.485938190354723,13317308.631196229,7490001.385289829,7714577.230100931,4378322.396182582,0.6122400909592046,0.8773425952419707,-10.911380849492291,Single
turnover_catering,27.694179947591092,17.001015442183366,26805355.72474484,17672361.07408458,15503881.742348522,10214076.758649938,0.3586666855366396,0.7212404191700671,-10.693164505407724,Single
turnover_total,23.816493424510877,13.256585235317766,40122607.193696156,18997398.75235268,23185234.757993564,11028416.96425164,0.46503489813630017,0.8800679002868764,-10.559908189193113,Single
units,29.971886344342618,14.43918105723802,3249.0487871136597,2520.6546768220323,1989.932599674083,1468.463923032914,0.5844184272890471,0.7498672706543927,-15.532705287104598,Single
