indicator,ensemble,linear,xgboost,Winner,Min_MAPE
STR_accommodation_beds,25.017804114880157,14.7215163691543,36.58739004360831,linear,14.7215163691543
employment_accommodation_catering,36.12491005535481,27.454057837876068,43.94496802865777,linear,27.454057837876068
employment_other,25.943082392444104,3.2273813727363385,63.00045125311274,linear,3.2273813727363385
employment_total,21.490031158797475,4.398724000893687,57.31608724648945,linear,4.398724000893687
employment_total_greece,31.250000634483328,31.25000000012181,31.250001268844844,linear,31.25000000012181
expenditure_per_overnight_stay,27.41855836588532,16.77840090394078,45.48737823732952,linear,16.77840090394078
guest_beds,29.170817150478705,16.212351952015744,49.45102040548284,linear,16.212351952015744
guest_beds_per_km2,18.56921090003341,4.399974455250904,52.41794122369482,linear,4.399974455250904
guest_beds_per_person,27.007558846920222,29.0171221621626,18.385917382587568,xgboost,18.385917382587568
hotels_avg_duration_of_stay_domestic,19.700054306540736,10.193347906390295,36.93468260322213,linear,10.193347906390295
hotels_avg_duration_of_stay_foreign,22.330071103990687,11.742754973058618,34.43636415607177,linear,11.742754973058618
hotels_avg_duration_of_stay_total,18.940191519605797,7.211089783615144,30.586951810422665,linear,7.211089783615144
hotels_domestic_arrivals,24.68963410717121,6.353391987168322,55.52687125308453,linear,6.353391987168322
hotels_domestic_overnights,14.846013063881466,14.854858694488806,46.978437455368784,ensemble,14.846013063881466
hotels_foreign_arrivals,41.64109039244548,17.511653769456125,49.11109325390526,linear,17.511653769456125
hotels_foreign_overnights,27.67707978002628,6.187475968803287,54.83605374126464,linear,6.187475968803287
hotels_total_arrivals,31.93645012073037,9.441211086065987,48.61651326381747,linear,9.441211086065987
hotels_total_arrivals_per_km2,29.53219868678568,11.207920221523349,57.741616559154366,linear,11.207920221523349
hotels_total_arrivals_per_person,22.56016299622515,8.826139230989392,38.88912855003587,linear,8.826139230989392
hotels_total_overnights,17.106734492782895,2.2382239939530337,51.52995846065457,linear,2.2382239939530337
land_area,25.51172895289872,6.746031878208399,76.81966063523835,linear,6.746031878208399
population,29.82525184673552,18.22239348449264,48.16847779233942,linear,18.22239348449264
receipts,31.92133402652486,17.07227320091619,52.27481169825511,linear,17.07227320091619
rooms,33.417865679613904,23.560605100725247,54.19344274289467,linear,23.560605100725247
short_stay_total_arrivals,25.82604042757279,14.945507999197307,68.36725414427059,linear,14.945507999197307
short_stay_total_arrivals_per_km2,50.89863294158518,16.077810454271706,79.14183789134589,linear,16.077810454271706
short_stay_total_arrivals_per_person,36.332659493199685,19.118529047211982,123.14174270417216,linear,19.118529047211982
short_stay_total_overnights,23.236666103518967,10.997011330966869,86.39874759049961,linear,10.997011330966869
turnover_accommodation,30.034105204737266,17.485938189536785,51.6060668061467,linear,17.485938189536785
turnover_catering,31.381820858297683,17.001015372784202,48.220862750210486,linear,17.001015372784202
turnover_total,19.73348875901981,13.256585221777398,51.58770203634469,linear,13.256585221777398
units,30.198254028845938,29.77875405920976,47.469699870724085,linear,29.77875405920976
