indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
STR_accommodation_beds,16.063032688717364,16.063032688717364,244737.61035012637,244737.61035012637,149646.94140625,149646.94140625,0.9323717656582974,0.9323717656582974,0,Single
employment_accommodation_catering,13.455403379816028,13.455403379816028,127342.73350675216,127342.73350675216,75503.52271354165,75503.52271354165,0.9730353637658439,0.9730353637658439,0,Single
employment_other,1.0748726475586783,1.0748726475586783,149656.3407003702,149656.3407003702,87341.29029166671,87341.29029166671,0.9998193222547993,0.9998193222547993,0,Single
employment_total,2.3668922198553792,2.3668922198553792,180099.28754702138,180099.28754702138,106331.6428124997,106331.6428124997,0.9997713059426611,0.9997713059426611,0,Single
employment_total_greece,3.5296712969606654,3.5296712969606654,1143402.0609347743,1143402.0609347743,765504.163999999,765504.163999999,0.9985699141544951,0.9985699141544951,0,Single
expenditure_per_overnight_stay,20.87742495384002,20.87742495384002,175.35996286969927,175.35996286969927,114.39394883219398,114.39394883219398,0.9385122713117697,0.9385122713117697,0,Single
guest_beds,1.682157484683386,1.682157484683386,14341.91780689534,14341.91780689534,9133.883463541666,9133.883463541666,0.9991385885668418,0.9991385885668418,0,Single
guest_beds_per_km2,1.6701572598352785,1.6701572598352785,3.797605173980746,3.797605173980746,2.5348365844090854,2.5348365844090854,0.9990951992313293,0.9990951992313293,0,Single
guest_beds_per_person,1.8934530767757851,1.8934530767757851,0.00562906399136167,0.00562906399136167,0.004876777440309531,0.004876777440309531,0.9991853149221257,0.9991853149221257,0,Single
hotels_avg_duration_of_stay_domestic,2.649526425333866,2.649526425333866,0.17666748908552785,0.17666748908552785,0.1516261870066331,0.1516261870066331,0.9998299503076455,0.9998299503076455,0,Single
hotels_avg_duration_of_stay_foreign,6.929964720607249,6.929964720607249,0.3221582492685698,0.3221582492685698,0.3034580256144202,0.3034580256144202,0.9995449887996954,0.9995449887996954,0,Single
hotels_avg_duration_of_stay_total,2.0803434723569763,2.0803434723569763,0.39033599704401767,0.39033599704401767,0.28484490966796905,0.28484490966796905,0.9992862077020755,0.9992862077020755,0,Single
hotels_domestic_arrivals,25.20720749372239,25.20720749372239,2327740.41229582,2327740.41229582,1417476.0833333333,1417476.0833333333,0.9522651405626967,0.9522651405626967,0,Single
hotels_domestic_overnights,18.077280120539804,18.077280120539804,3595625.157117001,3595625.157117001,2215501.2708333335,2215501.2708333335,0.9699651394683237,0.9699651394683237,0,Single
hotels_foreign_arrivals,24.828503467184692,24.828503467184692,7625990.729397577,7625990.729397577,4619646.229166667,4619646.229166667,0.9293221119528933,0.9293221119528933,0,Single
hotels_foreign_overnights,18.261188817558303,18.261188817558303,17315039.108014375,17315039.108014375,10822665.083333334,10822665.083333334,0.9245204963587783,0.9245204963587783,0,Single
hotels_total_arrivals,22.64361819978233,22.64361819978233,10582147.074459234,10582147.074459234,6386207.291666667,6386207.291666667,0.927622959995916,0.927622959995916,0,Single
hotels_total_arrivals_per_km2,22.643664631558735,22.643664631558735,2779.2440332439674,2779.2440332439674,1699.676341766357,1699.676341766357,0.9266364350582115,0.9266364350582115,0,Single
hotels_total_arrivals_per_person,23.550837528581507,23.550837528581507,3.4632385021405687,3.4632385021405687,2.911072191556295,2.911072191556295,0.8340735202148957,0.8340735202148957,0,Single
hotels_total_overnights,18.629297439259727,18.629297439259727,23331411.306499448,23331411.306499448,14438151.458333334,14438151.458333334,0.9223244428566285,0.9223244428566285,0,Single
land_area,0.06323452628095243,0.06323452628095243,66.7873017920695,66.7873017920695,38.56006054687381,38.56006054687381,0.9999929353474392,0.9999929353474392,0,Single
population,1.2946062589449323,1.2946062589449323,260041.85040914285,260041.85040914285,154091.83854166666,154091.83854166666,0.9999160356241558,0.9999160356241558,0,Single
receipts,29.434247401855114,29.434247401855114,17375.53643263455,17375.53643263455,10108.354984537758,10108.354984537758,0.7580116106146962,0.7580116106146962,0,Single
rooms,1.689450577845222,1.689450577845222,8233.909962043697,8233.909962043697,5118.830078125,5118.830078125,0.9989419018314714,0.9989419018314714,0,Single
short_stay_total_arrivals,9.024279242889495,9.024279242889495,477494.6235190681,477494.6235190681,311819.765625,311819.765625,0.9744839127350353,0.9744839127350353,0,Single
short_stay_total_arrivals_per_km2,9.029281648939113,9.029281648939113,127.36168779589045,127.36168779589045,88.29336230723068,88.29336230723068,0.9724690586447365,0.9724690586447365,0,Single
short_stay_total_arrivals_per_person,12.33190814941797,12.33190814941797,0.40695187318453463,0.40695187318453463,0.32655456217130013,0.32655456217130013,0.9322008901700666,0.9322008901700666,0,Single
short_stay_total_overnights,14.95037333481032,14.95037333481032,3605441.1477108803,3605441.1477108803,2250165.5,2250165.5,0.7484332556874602,0.7484332556874602,0,Single
turnover_accommodation,12.354700638975926,12.354700638975926,360243.12428485055,360243.12428485055,274088.4713541667,274088.4713541667,0.9997162594695141,0.9997162594695141,0,Single
turnover_catering,15.886277810423383,15.886277810423383,4500068.726692127,4500068.726692127,2651574.5104166665,2651574.5104166665,0.9819249734739846,0.9819249734739846,0,Single
turnover_total,14.912767687895064,14.912767687895064,5997533.873685414,5997533.873685414,3589632.8333333335,3589632.8333333335,0.9880465689988708,0.9880465689988708,0,Single
units,1.6693255904797453,1.6693255904797453,153.05730229222678,153.05730229222678,94.9701639811198,94.9701639811198,0.999077743073253,0.999077743073253,0,Single
