indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
STR_accommodation_beds,57.254999943466075,36.58739004360831,1110165.5818999836,1109313.5728911718,661116.1630859375,644687.298828125,-0.3915606398838991,-0.3894255219135825,-20.66760989985777,Single
employment_accommodation_catering,68.03262275053255,43.94496802865777,935801.6945752447,936004.3980904116,547879.9652395834,542602.6784557292,-0.4561760512885371,-0.45680696267614374,-24.087654721874785,Single
employment_other,84.66624830141244,63.00045125311274,13591858.946814355,13569208.353044515,7895028.402270834,7867654.587166667,-0.49029462796032974,-0.4853316672043708,-21.665797048299694,Single
employment_total,77.97516818283653,57.31608724648945,14526990.546168393,14520283.53751896,8440337.467770834,8418404.76725,-0.4879289636573019,-0.4865553482958893,-20.659080936347074,Single
employment_total_greece,31.250001268844844,31.250001268844844,37030838.46023346,37030838.46023346,21379764.609333333,21379764.609333333,-0.4999999960710513,-0.4999999960710513,0.0,Single
expenditure_per_overnight_stay,45.487378237329516,46.68409354693804,861.5460887143224,861.4897408417612,510.4819989624023,511.2515022379557,-0.4841732212766918,-0.4839790882644439,1.1967153096085204,Multi
guest_beds,49.45102040548284,75.86923665456028,529115.492665881,526914.0388068219,312943.19921875,337876.4778645833,-0.17245755424909825,-0.16272152603384815,26.418216249077435,Multi
guest_beds_per_km2,67.37747845745287,52.41794122369482,155.12669026628987,155.13852259461706,101.43008452828725,97.62569277890525,-0.5097547104972169,-0.509985033141048,-14.959537233758047,Single
guest_beds_per_person,27.905682043324827,18.385917382587568,0.21913956717632835,0.13086478916946404,0.1317634949485461,0.08400874901811284,-0.2346930092618018,0.5596854773392228,-9.519764660737257,Single
hotels_avg_duration_of_stay_domestic,40.0496585715166,36.93468260322213,16.29229675728717,16.133041434214014,9.669312301635742,9.509028338750204,-0.4461961508943928,-0.41806153118765654,-3.1149759682944755,Single
hotels_avg_duration_of_stay_foreign,36.16207647974507,34.43636415607177,17.872325941868546,17.662382959721267,10.590264761606852,10.428241853078207,-0.4003794418830695,-0.3676726687801122,-1.7257123236733007,Single
hotels_avg_duration_of_stay_total,31.60585062619214,30.586951810422665,17.162425732940843,17.085587118598887,10.05734448178609,9.984043802261352,-0.379913905837332,-0.3675854253647044,-1.0188988157694756,Single
hotels_domestic_arrivals,56.678445723104076,55.52687125308453,12849663.343306422,12751916.191584807,7522195.15625,7449423.494791667,-0.4546216727323422,-0.4325752857186733,-1.1515744700195452,Single
hotels_domestic_overnights,61.273072682180974,46.978437455368784,24905668.86076875,24811133.093674,14686799.583333334,14477935.166666666,-0.4410306495326408,-0.4301118187297823,-14.294635226812192,Single
