geo,indicator,forecast_year,forecast_value,model_used
AL01,contributing_family_members,2024,1573.1807664860626,Single
AL02,contributing_family_members,2024,1573.1807664860626,Single
AL03,contributing_family_members,2024,1573.1807664860626,Single
AT11,contributing_family_members,2024,1573.1807664860626,Single
AT13,contributing_family_members,2024,3040.8153376981213,Single
AT32,contributing_family_members,2024,3711.883154410752,Single
AT34,contributing_family_members,2024,1573.1807664860626,Single
BE10,contributing_family_members,2024,2722.431781884069,Single
BE31,contributing_family_members,2024,1573.1807664860626,Single
BE33,contributing_family_members,2024,2451.544199284609,Single
BE34,contributing_family_members,2024,1573.1807664860626,Single
BE35,contributing_family_members,2024,2649.8276584468,Single
BG31,contributing_family_members,2024,4386.641682157311,Single
BG32,contributing_family_members,2024,4555.406199771402,Single
BG33,contributing_family_members,2024,3712.1779297121448,Single
BG41,contributing_family_members,2024,6709.232290107232,Single
BG42,contributing_family_members,2024,4973.636210003369,Single
CZ05,contributing_family_members,2024,1345.7494420117207,Single
CZ08,contributing_family_members,2024,2305.314771624628,Single
DE11,contributing_family_members,2024,7090.777296842052,Single
DE12,contributing_family_members,2024,10347.330945205871,Single
DE13,contributing_family_members,2024,7558.0657041495615,Single
DE14,contributing_family_members,2024,7558.140325379615,Single
DE21,contributing_family_members,2024,9171.828932243945,Single
DE22,contributing_family_members,2024,7545.3376168884815,Single
DE23,contributing_family_members,2024,7332.004712508704,Single
DE24,contributing_family_members,2024,6721.741628114643,Single
DE25,contributing_family_members,2024,6908.150617845783,Single
DE26,contributing_family_members,2024,5923.609772041504,Single
DE27,contributing_family_members,2024,7340.201674559674,Single
DE30,contributing_family_members,2024,5576.562789589643,Single
DE40,contributing_family_members,2024,1573.1807664860626,Single
DE50,contributing_family_members,2024,1573.1807664860626,Single
DE60,contributing_family_members,2024,1573.1807664860626,Single
DE71,contributing_family_members,2024,7120.777553491342,Single
DE72,contributing_family_members,2024,1573.1807664860626,Single
DE73,contributing_family_members,2024,6748.857594517025,Single
DE80,contributing_family_members,2024,1573.1807664860626,Single
DE91,contributing_family_members,2024,1573.1807664860626,Single
DE92,contributing_family_members,2024,7045.352213927518,Single
DE93,contributing_family_members,2024,7512.430195841521,Single
DE94,contributing_family_members,2024,7089.6206559365455,Single
DEA1,contributing_family_members,2024,7640.544278341705,Single
DEA2,contributing_family_members,2024,9864.686735572319,Single
DEA3,contributing_family_members,2024,7387.940017774514,Single
