indicator,ensemble,linear,timesfm,xgboost,Winner,Min_MAPE
contributing_family_members,15.644375985510369,21.47105673777326,13.626109049706823,18.45602850118132,timesfm,13.626109049706823
deprivation,85.66213071080784,77.49388093883299,83.20361523623922,4827.994478611555,linear,77.49388093883299
empl_rate_ED0-2,4.027791806388356,3.5879047776032444,3.885793332316692,4.813179097570034,linear,3.5879047776032444
empl_rate_ED3-4,1.3431146711929365,1.2643581701476383,1.4417588060664357,1.4311634036177003,linear,1.2643581701476383
empl_rate_ED5-8,1.3372806715553585,1.3492413947421469,1.465134088218226,1.7500573405089086,ensemble,1.3372806715553585
employees,3.7220737849026833,1.694095221700778,1.912191305274663,6.424513334740094,linear,1.694095221700778
employment_full_time,4.014797511146954,2.023608678727386,2.0910239085538262,6.810032586905355,linear,2.023608678727386
employment_full_time_pct,1.4941621087172074,1.4767185166847063,1.2620978364911837,1.805790541977604,timesfm,1.2620978364911837
employment_part_time,7.967640031578043,9.741621234342476,7.252878498124132,9.482254248941064,timesfm,7.252878498124132
employment_part_time_pct,5.917324773275261,5.920341989554454,7.251208123803379,7.585201861816528,ensemble,5.917324773275261
fca_epl,61.53851972685437,62.888672342129446,59.2261554304776,60.57688025897983,timesfm,59.2261554304776
fca_no_epl,60.66415969465323,60.63633823681989,64.20332214726703,62.22566718611577,linear,60.63633823681989
housing,18.619978463664943,17.872251409341118,19.083791166867385,19.768066928372967,linear,17.872251409341118
involuntary_part_time,5.392946382648907,1.6634747241088783e-08,9.813986497466136,8.755845499090539,linear,1.6634747241088783e-08
involuntary_part_time_pct,3.874921222068927,0.0023713544803037,11.46738634386679,6.956973418214546,linear,0.0023713544803037
involuntary_temporary,7.204602174517509,8.623207275765938e-06,21.60352106902913,11.219012426049163,linear,8.623207275765938e-06
involuntary_temporary_pct,13.49443810483125,0.0025899019356748,26.628741890486328,23.157159514556096,linear,0.0025899019356748
labour_force,3.264261222427133,1.3857670676949494,1.3651765972473509,5.46604689251431,timesfm,1.3651765972473509
long_term_unemployment,14.117518189164798,17.40574096702272,14.607663987917146,15.369545338646404,ensemble,14.117518189164798
long_term_unemployment_rate,10.64234097060192,10.485849730786343,12.003354738005369,10.196093335607513,xgboost,10.196093335607513
neets,10.380708128688315,12.272702816376327,8.641679776407752,9.862685437568365,timesfm,8.641679776407752
neets_pop_prc,9.11666580045344,8.462767566091994,9.673435781183825,9.78111265565731,linear,8.462767566091994
permanent_employment,4.356687455456374,6.966189907201171e-07,1.7670513162721715,8.22742130561958,linear,6.966189907201171e-07
permanent_employment_pct,0.538586368543882,0.0022834697334167,2.2142899217748484,1.981862826145879,linear,0.0022834697334167
persons_low_work,499.83113510299154,20.59917340565311,22.011311112511645,1375.955352589074,linear,20.59917340565311
persons_risk_poverty,13.837901881413496,9.923038640862712,10.008157979349935,16.508843773785014,linear,9.923038640862712
sector_a,30.894490927405176,13.509070364337308,11.294356084414105,14.792491764891412,timesfm,11.294356084414105
sector_a_lq,8.667012958693576,8.678350765408263,8.408962473199313,8.878361238981526,timesfm,8.408962473199313
sector_a_pct,10.85373400419755,12.466279621891632,12.205075363848474,11.118211041209024,ensemble,10.85373400419755
sector_bde,16.08382299781405,16.84942280154117,12.179849045650124,17.61284446575609,timesfm,12.179849045650124
sector_bde_lq,11.652336417478644,11.315869598206763,9.702411139282734,13.215410584252876,timesfm,9.702411139282734
sector_bde_pct,12.805383355570848,12.950785451942131,10.869715617636302,12.159908018626837,timesfm,10.869715617636302
sector_c,6.469825560208031,6.195225517309308,5.03200894710477,8.035465247488679,timesfm,5.03200894710477
sector_c_lq,4.473035286860666,4.235678918893304,3.7631748495589576,4.728661232463405,timesfm,3.7631748495589576
sector_c_pct,5.88312214039619,5.462017620020552,5.198255096372008,8.010062638236464,timesfm,5.198255096372008
sector_f,8.596169314628593,8.363165879531596,7.927657278939897,7.697945977559874,xgboost,7.697945977559874
sector_f_lq,6.102791058755256,5.846785758266726,6.071891705871908,6.65598164429754,linear,5.846785758266726
sector_f_pct,6.45580900118436,6.472649258847152,6.966715625219824,6.835217294021274,ensemble,6.45580900118436
sector_g,6.555741561760151,5.317328570286624,5.0152756740963165,8.75256799546488,timesfm,5.0152756740963165
sector_g_lq,4.555103847838896,4.543082842059868,4.365771876217681,4.977383597004366,timesfm,4.365771876217681
sector_g_pct,4.920983846015884,5.150744367953687,4.961095507680831,5.138066726461084,ensemble,4.920983846015884
sector_h,7.881183336214489,8.211366956597823,7.035576564019965,9.896598231541889,timesfm,7.035576564019965
sector_h_lq,6.586441178574057,5.887125373582864,5.655334801507119,7.307990044318811,timesfm,5.655334801507119
sector_h_pct,7.399636063062524,6.839283699101753,6.674445704926248,8.442865134506649,timesfm,6.674445704926248
sector_i,9.577962434750209,9.956962061176103,8.765220361115306,11.199297973750602,timesfm,8.765220361115306
sector_i_lq,8.661167610410063,8.227652479309375,7.406185162920774,9.15962423382307,timesfm,7.406185162920774
sector_i_pct,9.18068111847653,9.34561323578155,8.17365060441162,10.109085587563111,timesfm,8.17365060441162
sector_jklmnu,7.979507366754232,6.693280649606984,6.627012726321066,10.238691423692488,timesfm,6.627012726321066
sector_jklmnu_lq,5.12344534171513,4.545267434051622,4.318924458259375,5.282693869544664,timesfm,4.318924458259375
sector_jklmnu_pct,5.716987460859184,5.632244733672459,5.875494919552088,5.75789340518511,linear,5.632244733672459
sector_opq,4.049253252394454,4.687494372646241,4.1026888998897695,6.661992590936697,ensemble,4.049253252394454
sector_opq_lq,3.147770120695889,2.681826703602604,2.6326075548847334,4.669613077603191,timesfm,2.6326075548847334
sector_opq_pct,3.268168785642288,3.254882349143996,3.676519082716196,4.351723475872797,linear,3.254882349143996
sector_rst,10.007681177147171,9.420203727839889,7.883454219687867,11.269185316431576,timesfm,7.883454219687867
sector_rst_lq,7.90471630256889,7.553812134174606,7.184929196620829,8.81408569774759,timesfm,7.184929196620829
sector_rst_pct,8.320734074899933,7.970127102766561,7.286724147109775,9.67480334155474,timesfm,7.286724147109775
self_employed,7.360412756693205,5.777015389625137,5.086429717360836,10.60105809180393,timesfm,5.086429717360836
self_employed_with_employees,10.623137638716177,10.636342132895518,8.571920610530597,11.963248031418155,timesfm,8.571920610530597
self_employed_without_employees,8.439942157228357,7.954500223404433,6.934999917463756,10.184529520602956,timesfm,6.934999917463756
skills_isco_0,15.82210493664213,15.20406653813594,12.284136400612184,17.036021052722,timesfm,12.284136400612184
skills_isco_1_3,5.410282887061479,4.249858199959525,4.077068319751086,8.974744942758202,timesfm,4.077068319751086
skills_isco_1_3_pct,3.3296377500108587,3.181481536633924,3.7724019574524656,3.69943278070754,linear,3.181481536633924
skills_isco_4_5,4.516947783936385,3.4608285008497037,3.4435502022843045,7.043868780196748,timesfm,3.4435502022843045
skills_isco_4_5_pct,2.6981583338083626,2.4010282489893444,2.849816873121328,3.563177291553929,linear,2.4010282489893444
skills_isco_6_8,6.801384726467474,5.482926912994202,4.995123539568133,9.154938643723852,timesfm,4.995123539568133
skills_isco_6_8_pct,5.357830174781009,5.507395290536984,5.731968485412274,7.33102097230858,ensemble,5.357830174781009
skills_isco_9,8.178142417686427,7.635731463232285,6.420793024825963,9.701165351438371,timesfm,6.420793024825963
skills_isco_9_pct,7.242423510653221,6.575611237180315,7.342085876875915,8.727849108489625,linear,6.575611237180315
