geo,indicator,forecast_year,forecast_value,model_used
AL01,contributing_family_members,2024,1735.6848,Single
AL02,contributing_family_members,2024,1735.6848,Single
AL03,contributing_family_members,2024,1735.6848,Single
AT11,contributing_family_members,2024,1735.6848,Single
AT13,contributing_family_members,2024,2141.8806,Single
AT32,contributing_family_members,2024,2698.346,Single
AT34,contributing_family_members,2024,1735.6848,Single
BE10,contributing_family_members,2024,2083.6184,Single
BE31,contributing_family_members,2024,1735.6848,Single
BE33,contributing_family_members,2024,2019.3203,Single
BE34,contributing_family_members,2024,1735.6848,Single
BE35,contributing_family_members,2024,1813.6023,Single
BG31,contributing_family_members,2024,4672.83,Single
BG32,contributing_family_members,2024,4345.0786,Single
BG33,contributing_family_members,2024,2968.4102,Single
BG41,contributing_family_members,2024,6529.983,Single
BG42,contributing_family_members,2024,4881.5977,Single
CZ05,contributing_family_members,2024,1729.8531,Single
CZ08,contributing_family_members,2024,1912.1123,Single
DE11,contributing_family_members,2024,6430.6523,Single
DE12,contributing_family_members,2024,11201.862,Single
DE13,contributing_family_members,2024,6860.0503,Single
DE14,contributing_family_members,2024,6750.7627,Single
DE21,contributing_family_members,2024,7314.1084,Single
DE22,contributing_family_members,2024,7634.667,Single
DE23,contributing_family_members,2024,6935.5166,Single
DE24,contributing_family_members,2024,6664.678,Single
DE25,contributing_family_members,2024,6916.5483,Single
DE26,contributing_family_members,2024,5585.926,Single
DE27,contributing_family_members,2024,7349.1025,Single
DE30,contributing_family_members,2024,5464.721,Single
DE40,contributing_family_members,2024,1735.6848,Single
DE50,contributing_family_members,2024,1735.6848,Single
DE60,contributing_family_members,2024,1735.6848,Single
DE71,contributing_family_members,2024,6570.54,Single
DE72,contributing_family_members,2024,1735.6848,Single
DE73,contributing_family_members,2024,6552.2515,Single
DE80,contributing_family_members,2024,1735.6848,Single
DE91,contributing_family_members,2024,1735.6848,Single
DE92,contributing_family_members,2024,6795.404,Single
DE93,contributing_family_members,2024,6883.964,Single
DE94,contributing_family_members,2024,6362.966,Single
DEA1,contributing_family_members,2024,7074.6597,Single
DEA2,contributing_family_members,2024,7656.553,Single
DEA3,contributing_family_members,2024,7188.757,Single
DEA4,contributing_family_members,2024,6684.737,Single
DEA5,contributing_family_members,2024,7494.86,Single
DEB1,contributing_family_members,2024,6520.195,Single
DEB2,contributing_family_members,2024,1735.6848,Single
DEB3,contributing_family_members,2024,6616.6274,Single
DEC0,contributing_family_members,2024,1735.6848,Single
DED2,contributing_family_members,2024,1735.6848,Single
DED4,contributing_family_members,2024,1735.6848,Single
DED5,contributing_family_members,2024,1735.6848,Single
DEE0,contributing_family_members,2024,1735.6848,Single
DEF0,contributing_family_members,2024,7783.334,Single
DEG0,contributing_family_members,2024,4773.0044,Single
DK01,contributing_family_members,2024,1812.8701,Single
DK02,contributing_family_members,2024,1735.6848,Single
DK03,contributing_family_members,2024,1798.0793,Single
DK04,contributing_family_members,2024,1926.4639,Single
DK05,contributing_family_members,2024,1735.6848,Single
EE00,contributing_family_members,2024,1738.8787,Single
ES13,contributing_family_members,2024,1574.26,Single
ES21,contributing_family_members,2024,2347.5698,Single
ES22,contributing_family_members,2024,1738.8787,Single
ES23,contributing_family_members,2024,1738.8787,Single
ES24,contributing_family_members,2024,1468.5496,Single
ES63,contributing_family_members,2024,1735.6848,Single
ES64,contributing_family_members,2024,1735.6848,Single
FI18,contributing_family_members,2024,1735.6848,Single
FI19,contributing_family_members,2024,2904.4673,Single
FI1B,contributing_family_members,2024,4757.4536,Single
FI1C,contributing_family_members,2024,2473.2021,Single
FI1D,contributing_family_members,2024,3876.7175,Single
FI20,contributing_family_members,2024,1735.6848,Single
FR10,contributing_family_members,2024,6861.551,Single
FR21,contributing_family_members,2024,1735.6848,Single
FR22,contributing_family_members,2024,1735.6848,Single
FR23,contributing_family_members,2024,1735.6848,Single
FR24,contributing_family_members,2024,1735.6848,Single
FR25,contributing_family_members,2024,1735.6848,Single
FR26,contributing_family_members,2024,1735.6848,Single
FR30,contributing_family_members,2024,1735.6848,Single
FR41,contributing_family_members,2024,1735.6848,Single
FR42,contributing_family_members,2024,1735.6848,Single
FR43,contributing_family_members,2024,1735.6848,Single
FR51,contributing_family_members,2024,1735.6848,Single
