geo,indicator,forecast_2023,model_used
AL01,gdp_eur_hab,4556.535539837328,Single
AL02,gdp_eur_hab,6183.763988363478,Single
AL03,gdp_eur_hab,5292.0937530184465,Single
ATZZ,gdp_eur_hab,1628.8423590725397,Single
BEZZ,gdp_eur_hab,1628.8423590725397,Single
CH01,gdp_eur_hab,72620.99858593509,Single
CH02,gdp_eur_hab,69138.28196927166,Single
CH03,gdp_eur_hab,78740.22283677831,Single
CH04,gdp_eur_hab,89547.77845143506,Single
CH05,gdp_eur_hab,66466.25666094049,Single
CH06,gdp_eur_hab,72814.10883308995,Single
CH07,gdp_eur_hab,80022.20505537561,Single
DKZZ,gdp_eur_hab,1628.8423590725397,Single
ESZZ,gdp_eur_hab,1628.8423590725397,Single
FIZZ,gdp_eur_hab,1628.8423590725397,Single
FRZZ,gdp_eur_hab,1628.8423590725397,Single
HUZZ,gdp_eur_hab,1628.8423590725397,Single
ITZZ,gdp_eur_hab,1628.8423590725397,Single
LVZZ,gdp_eur_hab,1628.8423590725397,Single
MTZZ,gdp_eur_hab,1628.8423590725397,Single
NLZZ,gdp_eur_hab,1628.8423590725397,Single
NO02,gdp_eur_hab,41794.647766674054,Single
NO06,gdp_eur_hab,50368.09161245613,Single
NO07,gdp_eur_hab,47797.86869741573,Single
NO08,gdp_eur_hab,68182.17078780736,Single
NO09,gdp_eur_hab,45281.48482995614,Single
NO0A,gdp_eur_hab,61173.15315848682,Single
NO0B,gdp_eur_hab,1628.8423590725397,Single
NOZZ,gdp_eur_hab,1628.8423590725397,Single
PLZZ,gdp_eur_hab,1628.8423590725397,Single
PTZZ,gdp_eur_hab,1628.8423590725397,Single
ROZZ,gdp_eur_hab,1628.8423590725397,Single
RSZZ,gdp_eur_hab,1628.8423590725397,Single
SEZZ,gdp_eur_hab,1628.8423590725397,Single
AL01,gdp_mio_eur,2618.48087936345,Single
AL02,gdp_mio_eur,4246.443511900763,Single
AL03,gdp_mio_eur,3212.727723600344,Single
CH01,gdp_mio_eur,91343.11081996592,Single
CH02,gdp_mio_eur,102040.89664614137,Single
CH03,gdp_mio_eur,74316.39912736573,Single
CH04,gdp_mio_eur,116749.77760918447,Single
CH05,gdp_mio_eur,59351.18585621381,Single
CH06,gdp_mio_eur,44790.75654234353,Single
CH07,gdp_mio_eur,20931.698976610478,Single
NO02,gdp_mio_eur,15361.575570676363,Single
NO06,gdp_mio_eur,21348.430142268484,Single
NO07,gdp_mio_eur,22685.98267777731,Single
