indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
gdp_mio_eur,56.59964019396616,9.32462981482229,164977.70306497582,4943.414209160072,30605.885838731876,2446.5546039675487,-2.6991659252670526,0.9966787060870335,-47.27501037914387,Single
gdp_eur_hab,29.181621737615487,3.420837282975912,34838.687088016064,1564.1196695616352,11322.118908534687,991.3725937142874,-1.6661263336412104,0.994626006715131,-25.760784454639573,Single
gfcf,7.361342964450521,16.045955657649035,516.1076670182247,1034.1819805162684,409.0845342585768,871.1583417605437,0.9927140595484792,0.9707450790678424,8.684612693198515,Multi
gva,64.64914686169426,136.1211191473578,183071.78639457107,129677.14620767563,32238.691613599105,68953.1831325537,-4.617869443890749,-1.8187443742857559,71.47197228566354,Multi
gva_sector_a,72.20079616491081,13.308480084397267,727.3141475663454,159.34485644067107,345.1879487618613,115.35964280381361,0.5161378936993926,0.9767751114164122,-58.89231608051354,Single
gva_sector_bde,20.51773757752669,9.744860720477105,1935.8649224171725,823.4823657683995,1116.4427317385262,553.2355814617217,0.9529295461841292,0.9914826029800409,-10.772876857049589,Single
gva_sector_c,42.43117588515556,16.833429112074967,1905.9964844648366,909.6173513122513,880.0709377258783,486.91335923732464,0.8679139306829151,0.9699163658812674,-25.597746773080598,Single
gva_sector_f,33.38166473662626,10.684144321119204,958.4506935448964,510.10993433414484,585.1691215316758,213.61604766747806,0.9322224350384838,0.980801204932974,-22.69752041550706,Single
gva_sector_ghij,9.52705401698799,9.808610103053669,1453.8368441659256,3414.1690772376473,823.377379494793,1465.8616471033777,0.9964124236549791,0.9802148266766139,0.28155608606567906,Multi
gva_sector_ghi,8.870741861700141,7.7697317898375875,2168.858638807403,4242.917636237312,987.3696968376788,1169.6480750503063,0.9692657339060409,0.8823777300683217,-1.1010100718625528,Single
gva_sector_j,21.399689556574163,8.668965406466265,699.5926096758105,705.4771796136857,282.59203431374846,206.91157511068175,0.9691859343954573,0.9686653739065981,-12.730724150107896,Single
gva_sector_klmn,5.698248451334709,4.054311056813643,1107.3155811405506,729.8821071274838,600.556501183734,418.7909647002268,0.9961621789450098,0.9983325710650318,-1.643937394521066,Single
gva_sector_k,16.182879169170366,11.978146035690497,489.7542467387208,503.7178312290771,233.56361196163954,224.39471064094818,0.989179715889777,0.9885539169457782,-4.20473313347987,Single
gva_sector_l,8.893740208949252,4.334962748062017,666.3845473005947,205.207506656629,322.6321069611102,121.99793833281034,0.9874415847923345,0.9988091104363058,-4.558777460887235,Single
gva_sector_mn,9.132293867451308,6.075637890340989,316.8054359194013,342.67820715242465,205.02252997256593,202.310906839509,0.9975122429925157,0.9970893118306834,-3.056655977110319,Single
gva_sector_opqrstu,8.465491608810527,14.114600734905485,526.024890591061,173.1773689275373,342.85461323223643,110.60590612296349,0.996902054183503,0.9996642287538329,5.649109126094959,Multi
gva_sector_opq,6.426430837606375,14.185604246418842,635.481692227878,130.92225549079282,283.8421813031673,97.39700497155627,0.9808791224045394,0.9991884249413775,7.759173408812467,Multi
gva_sector_rstu,9.792356457056414,4.296597420298354,686.3853855509237,241.0287009987077,213.28976368516365,78.26099595494163,0.9292776763771281,0.9912791666866821,-5.49575903675806,Single
