geo,indicator,forecast_2023,model_used
AL01,gdp_mio_eur,2494.606475329164,Single
AL02,gdp_mio_eur,5523.20642784358,Single
AL03,gdp_mio_eur,3048.776301835346,Single
CH01,gdp_mio_eur,102463.90838783016,Single
CH02,gdp_mio_eur,109093.72974761447,Single
CH03,gdp_mio_eur,79754.28357325029,Single
CH04,gdp_mio_eur,116753.29128390926,Single
CH05,gdp_mio_eur,67164.35176252363,Single
CH06,gdp_mio_eur,52022.12769199786,Single
CH07,gdp_mio_eur,23894.256983249492,Single
NO02,gdp_mio_eur,13538.881904166168,Single
NO06,gdp_mio_eur,20518.50555228426,Single
NO07,gdp_mio_eur,20623.809658394075,Single
NO08,gdp_mio_eur,102879.69252457206,Single
NO09,gdp_mio_eur,25947.07318779664,Single
NO0A,gdp_mio_eur,62512.71592521985,Single
NO0B,gdp_mio_eur,67.25130028725894,Single
NOZZ,gdp_mio_eur,43055.90768927081,Single
PLZZ,gdp_mio_eur,0.0,Single
AL01,gdp_eur_hab,3145.3812645889298,Single
AL02,gdp_eur_hab,4582.248036980329,Single
AL03,gdp_eur_hab,3638.316946202907,Single
ATZZ,gdp_eur_hab,0.0,Single
BEZZ,gdp_eur_hab,0.0,Single
CH01,gdp_eur_hab,46510.45076446705,Single
CH02,gdp_eur_hab,43531.701040103464,Single
CH03,gdp_eur_hab,51262.73790028017,Single
CH04,gdp_eur_hab,59068.055678931276,Single
CH05,gdp_eur_hab,41841.48343434091,Single
CH06,gdp_eur_hab,46722.09292293925,Single
CH07,gdp_eur_hab,50084.37810037907,Single
DKZZ,gdp_eur_hab,0.0,Single
ESZZ,gdp_eur_hab,0.0,Single
FIZZ,gdp_eur_hab,0.0,Single
FRZZ,gdp_eur_hab,0.0,Single
HUZZ,gdp_eur_hab,0.0,Single
ITZZ,gdp_eur_hab,0.0,Single
LVZZ,gdp_eur_hab,0.0,Single
MTZZ,gdp_eur_hab,0.0,Single
NLZZ,gdp_eur_hab,0.0,Single
NO02,gdp_eur_hab,35552.173577716116,Single
NO06,gdp_eur_hab,42843.842144523056,Single
NO07,gdp_eur_hab,41983.851788462,Single
NO08,gdp_eur_hab,51189.60483332926,Single
NO09,gdp_eur_hab,34611.588570138396,Single
NO0A,gdp_eur_hab,43615.32785510589,Single
NO0B,gdp_eur_hab,0.0,Single
NOZZ,gdp_eur_hab,0.0,Single
PLZZ,gdp_eur_hab,0.0,Single
PTZZ,gdp_eur_hab,0.0,Single
ROZZ,gdp_eur_hab,0.0,Single
RSZZ,gdp_eur_hab,0.0,Single
SEZZ,gdp_eur_hab,0.0,Single
AL01,gfcf,628.094472665447,Multi
AL02,gfcf,1297.2582383982178,Multi
AL03,gfcf,685.074714991377,Multi
AT11,gfcf,4214.929174508024,Multi
AT12,gfcf,16545.89626149236,Multi
AT13,gfcf,25952.912498168105,Multi
AT21,gfcf,7779.791534534077,Multi
AT22,gfcf,15330.265401713612,Multi
AT31,gfcf,20204.430761685115,Multi
AT32,gfcf,10443.945693761149,Multi
AT33,gfcf,10950.043429385863,Multi
AT34,gfcf,7796.592107621907,Multi
ATZZ,gfcf,28.922214526801618,Multi
BE10,gfcf,26357.246132858065,Multi
BE21,gfcf,24485.14542494547,Multi
BE22,gfcf,9842.753680229902,Multi
BE23,gfcf,17080.330077542523,Multi
BE24,gfcf,16200.64955838435,Multi
BE25,gfcf,14519.041904742066,Multi
BE31,gfcf,8974.521263660821,Multi
BE32,gfcf,10057.229443702003,Multi
BE33,gfcf,9690.786737697706,Multi
BE34,gfcf,3477.689145060151,Multi
BE35,gfcf,5211.306605752467,Multi
BEZZ,gfcf,43.19713325766083,Multi
BG31,gfcf,1381.4510245707277,Multi
BG32,gfcf,1517.559037120505,Multi
BG33,gfcf,2093.6487471487785,Multi
BG34,gfcf,2368.499108724256,Multi
BG41,gfcf,8861.462891771145,Multi
BG42,gfcf,2614.1730090017177,Multi
CH01,gfcf,19024.091025013542,Multi
CH02,gfcf,20959.70694084018,Multi
CH03,gfcf,16278.673413745888,Multi
CH04,gfcf,19259.77954895187,Multi
CH05,gfcf,13073.418816447678,Multi
CH06,gfcf,10811.28079921042,Multi
CH07,gfcf,6232.529722766834,Multi
DE11,gfcf,60321.585515902094,Multi
DE12,gfcf,33037.31201019473,Multi
DE13,gfcf,24182.018376820593,Multi
