geo,indicator,forecast_2023,model_used
AL01,gdp_eur_hab,3004.963,Single (Univariate)
AL02,gdp_eur_hab,4782.963,Single (Univariate)
AL03,gdp_eur_hab,3444.3455,Single (Univariate)
ATZZ,gdp_eur_hab,0.0,Single (Univariate)
BEZZ,gdp_eur_hab,0.0,Single (Univariate)
CH01,gdp_eur_hab,70335.95,Single (Univariate)
CH02,gdp_eur_hab,65987.89,Single (Univariate)
CH03,gdp_eur_hab,77433.31,Single (Univariate)
CH04,gdp_eur_hab,89460.22,Single (Univariate)
CH05,gdp_eur_hab,63397.086,Single (Univariate)
CH06,gdp_eur_hab,70753.625,Single (Univariate)
CH07,gdp_eur_hab,75794.516,Single (Univariate)
DKZZ,gdp_eur_hab,0.0,Single (Univariate)
ESZZ,gdp_eur_hab,0.0,Single (Univariate)
FIZZ,gdp_eur_hab,0.0,Single (Univariate)
FRZZ,gdp_eur_hab,0.0,Single (Univariate)
HUZZ,gdp_eur_hab,0.0,Single (Univariate)
ITZZ,gdp_eur_hab,0.0,Single (Univariate)
LVZZ,gdp_eur_hab,0.0,Single (Univariate)
MTZZ,gdp_eur_hab,0.0,Single (Univariate)
NLZZ,gdp_eur_hab,0.0,Single (Univariate)
NO02,gdp_eur_hab,42487.992,Single (Univariate)
NO06,gdp_eur_hab,51875.625,Single (Univariate)
NO07,gdp_eur_hab,49901.84,Single (Univariate)
NO08,gdp_eur_hab,65785.71,Single (Univariate)
NO09,gdp_eur_hab,45079.91,Single (Univariate)
NO0A,gdp_eur_hab,59450.54,Single (Univariate)
NO0B,gdp_eur_hab,0.0,Single (Univariate)
NOZZ,gdp_eur_hab,0.0,Single (Univariate)
PLZZ,gdp_eur_hab,0.0,Single (Univariate)
PTZZ,gdp_eur_hab,0.0,Single (Univariate)
ROZZ,gdp_eur_hab,0.0,Single (Univariate)
RSZZ,gdp_eur_hab,0.0,Single (Univariate)
SEZZ,gdp_eur_hab,0.0,Single (Univariate)
AL01,gdp_mio_eur,2667.1912,Single (Univariate)
AL02,gdp_mio_eur,5433.5566,Single (Univariate)
AL03,gdp_mio_eur,3179.3313,Single (Univariate)
CH01,gdp_mio_eur,101690.01,Single (Univariate)
CH02,gdp_mio_eur,108534.14,Single (Univariate)
CH03,gdp_mio_eur,79929.8,Single (Univariate)
CH04,gdp_mio_eur,108600.72,Single (Univariate)
CH05,gdp_mio_eur,68971.836,Single (Univariate)
CH06,gdp_mio_eur,51532.84,Single (Univariate)
CH07,gdp_mio_eur,24959.512,Single (Univariate)
NO02,gdp_mio_eur,16205.115,Single (Univariate)
NO06,gdp_mio_eur,22474.99,Single (Univariate)
NO07,gdp_mio_eur,23913.855,Single (Univariate)
NO08,gdp_mio_eur,117881.91,Single (Univariate)
NO09,gdp_mio_eur,31963.746,Single (Univariate)
NO0A,gdp_mio_eur,78834.77,Single (Univariate)
NO0B,gdp_mio_eur,186.83759,Single (Univariate)
NOZZ,gdp_mio_eur,68856.91,Single (Univariate)
PLZZ,gdp_mio_eur,0.0,Single (Univariate)
AL01,gfcf,0.0,Single (Univariate)
AL02,gfcf,0.0,Single (Univariate)
AL03,gfcf,0.0,Single (Univariate)
AT11,gfcf,3174.9229,Single (Univariate)
AT12,gfcf,17968.21,Single (Univariate)
AT13,gfcf,28333.518,Single (Univariate)
AT21,gfcf,7504.388,Single (Univariate)
AT22,gfcf,15317.338,Single (Univariate)
AT31,gfcf,20670.684,Single (Univariate)
AT32,gfcf,8536.471,Single (Univariate)
AT33,gfcf,10270.515,Single (Univariate)
AT34,gfcf,5592.8955,Single (Univariate)
ATZZ,gfcf,4.580092,Single (Univariate)
BE10,gfcf,19989.988,Single (Univariate)
BE21,gfcf,26432.629,Single (Univariate)
BE22,gfcf,8715.577,Single (Univariate)
BE23,gfcf,18087.613,Single (Univariate)
BE24,gfcf,14839.17,Single (Univariate)
BE25,gfcf,14887.17,Single (Univariate)
BE31,gfcf,6340.1436,Single (Univariate)
BE32,gfcf,8266.774,Single (Univariate)
BE33,gfcf,7943.579,Single (Univariate)
BE34,gfcf,2274.5557,Single (Univariate)
BE35,gfcf,3408.0771,Single (Univariate)
BEZZ,gfcf,70.225586,Single (Univariate)
BG31,gfcf,566.83136,Single (Univariate)
BG32,gfcf,834.4751,Single (Univariate)
BG33,gfcf,1173.1914,Single (Univariate)
BG34,gfcf,1503.5771,Single (Univariate)
BG41,gfcf,7299.2397,Single (Univariate)
BG42,gfcf,1935.5978,Single (Univariate)
CH01,gfcf,0.0,Single (Univariate)
CH02,gfcf,0.0,Single (Univariate)
CH03,gfcf,0.0,Single (Univariate)
CH04,gfcf,0.0,Single (Univariate)
CH05,gfcf,0.0,Single (Univariate)
CH06,gfcf,0.0,Single (Univariate)
CH07,gfcf,0.0,Single (Univariate)
DE11,gfcf,57535.34,Single (Univariate)
DE12,gfcf,32608.182,Single (Univariate)
DE13,gfcf,24259.65,Single (Univariate)
DE14,gfcf,21335.955,Single (Univariate)
DE21,gfcf,88288.94,Single (Univariate)
DE22,gfcf,14000.336,Single (Univariate)
DE23,gfcf,13543.022,Single (Univariate)
DE24,gfcf,9630.447,Single (Univariate)
DE25,gfcf,21965.17,Single (Univariate)
DE26,gfcf,13059.851,Single (Univariate)
DE27,gfcf,20931.02,Single (Univariate)
DE30,gfcf,34543.17,Single (Univariate)
DE40,gfcf,23930.752,Single (Univariate)
DE50,gfcf,5460.471,Single (Univariate)
DE60,gfcf,21649.836,Single (Univariate)
DE71,gfcf,47237.55,Single (Univariate)
DE72,gfcf,7850.8877,Single (Univariate)
DE73,gfcf,10352.176,Single (Univariate)
DE80,gfcf,11526.58,Single (Univariate)
DE91,gfcf,24343.875,Single (Univariate)
DE92,gfcf,29424.58,Single (Univariate)
DE93,gfcf,17160.83,Single (Univariate)
DE94,gfcf,33161.5,Single (Univariate)
DEA1,gfcf,37633.383,Single (Univariate)
DEA2,gfcf,37048.25,Single (Univariate)
DEA3,gfcf,22682.99,Single (Univariate)
DEA4,gfcf,16385.88,Single (Univariate)
DEA5,gfcf,25318.459,Single (Univariate)
DEB1,gfcf,15522.374,Single (Univariate)
DEB2,gfcf,6015.8213,Single (Univariate)
DEB3,gfcf,20440.95,Single (Univariate)
DEC0,gfcf,7075.823,Single (Univariate)
DED2,gfcf,13076.382,Single (Univariate)
DED4,gfcf,9135.238,Single (Univariate)
DED5,gfcf,8502.921,Single (Univariate)
DEE0,gfcf,15161.426,Single (Univariate)
DEF0,gfcf,24597.486,Single (Univariate)
DEG0,gfcf,14063.443,Single (Univariate)
DK01,gfcf,38907.215,Single (Univariate)
DK02,gfcf,7810.6816,Single (Univariate)
DK03,gfcf,14353.401,Single (Univariate)
DK04,gfcf,20343.375,Single (Univariate)
DK05,gfcf,6446.874,Single (Univariate)
DKZZ,gfcf,711.8247,Single (Univariate)
EL30,gfcf,11315.971,Single (Univariate)
EL41,gfcf,502.5277,Single (Univariate)
EL42,gfcf,1081.9661,Single (Univariate)
EL43,gfcf,1904.7507,Single (Univariate)
EL51,gfcf,1364.3528,Single (Univariate)
EL52,gfcf,4456.971,Single (Univariate)
EL53,gfcf,927.3751,Single (Univariate)
EL54,gfcf,1114.0562,Single (Univariate)
EL61,gfcf,1856.15,Single (Univariate)
EL62,gfcf,607.3124,Single (Univariate)
EL63,gfcf,1375.9858,Single (Univariate)
EL64,gfcf,1980.5651,Single (Univariate)
EL65,gfcf,1644.8098,Single (Univariate)
ES11,gfcf,12570.154,Single (Univariate)
ES12,gfcf,4768.224,Single (Univariate)
ES13,gfcf,2916.88,Single (Univariate)
ES21,gfcf,13495.992,Single (Univariate)
ES22,gfcf,5181.1387,Single (Univariate)
ES23,gfcf,1772.0236,Single (Univariate)
ES24,gfcf,8425.091,Single (Univariate)
ES30,gfcf,66979.83,Single (Univariate)
ES41,gfcf,11482.495,Single (Univariate)
ES42,gfcf,9398.491,Single (Univariate)
ES43,gfcf,4458.297,Single (Univariate)
ES51,gfcf,48246.492,Single (Univariate)
ES52,gfcf,25069.635,Single (Univariate)
ES53,gfcf,10018.973,Single (Univariate)
ES61,gfcf,31820.928,Single (Univariate)
ES62,gfcf,6539.668,Single (Univariate)
ES63,gfcf,290.84583,Single (Univariate)
ES64,gfcf,309.20465,Single (Univariate)
ES70,gfcf,7431.155,Single (Univariate)
ESZZ,gfcf,444.7474,Single (Univariate)
FI19,gfcf,13597.166,Single (Univariate)
