geo,indicator,forecast_year,forecast_value,model_used
ATZZ,arrivals,2024,70468.80523915612,Single
DKZZ,arrivals,2024,70468.80523915612,Single
ESZZ,arrivals,2024,70468.80523915612,Single
FR21,arrivals,2024,2321706.6199612236,Single
FR22,arrivals,2024,2481275.929784462,Single
FR23,arrivals,2024,2475032.852121273,Single
FR24,arrivals,2024,5188579.2429361995,Single
FR25,arrivals,2024,3950862.1527432343,Single
FR26,arrivals,2024,4469688.505045838,Single
FR3,arrivals,2024,4449329.35340851,Single
FR30,arrivals,2024,4449329.35340851,Single
FR41,arrivals,2024,3398322.736749218,Single
FR42,arrivals,2024,4675385.126571798,Single
FR43,arrivals,2024,1867550.3147772155,Single
FR51,arrivals,2024,7303776.568074989,Single
FR52,arrivals,2024,7238356.320218992,Single
FR53,arrivals,2024,4777341.499504589,Single
FR61,arrivals,2024,9906342.613672893,Single
FR62,arrivals,2024,6338563.431361239,Single
FR63,arrivals,2024,1306790.4075157894,Single
FR71,arrivals,2024,16903000.56042259,Single
FR72,arrivals,2024,3007016.5869416296,Single
FR81,arrivals,2024,8687051.752700174,Single
FR82,arrivals,2024,16933438.676969983,Single
FR83,arrivals,2024,2509740.1061246763,Single
FRA1,arrivals,2024,349889.2441766419,Single
FRA2,arrivals,2024,316071.0745388495,Single
FRA3,arrivals,2024,155314.4206314069,Single
FRA4,arrivals,2024,506915.71297258197,Single
FRA5,arrivals,2024,78663.13633762093,Single
FRZZ,arrivals,2024,70468.80523915612,Single
HR04,arrivals,2024,2557502.7568563446,Single
HU10,arrivals,2024,4717982.249266288,Single
HUZZ,arrivals,2024,70468.80523915612,Single
IE01,arrivals,2024,2672111.2260374404,Single
IE02,arrivals,2024,7866243.136103367,Single
IS00,arrivals,2024,6525510.420659469,Single
ITZZ,arrivals,2024,70468.80523915612,Single
LT00,arrivals,2024,3039650.699866968,Single
MTZZ,arrivals,2024,70468.80523915612,Single
NL31,arrivals,2024,2065968.7243099774,Single
NL33,arrivals,2024,6315247.534170969,Single
NLZZ,arrivals,2024,70468.80523915612,Single
NOZZ,arrivals,2024,70468.80523915612,Single
PL11,arrivals,2024,1199314.886668147,Single
PL12,arrivals,2024,4780970.9758973615,Single
PL31,arrivals,2024,942107.8114385054,Single
PL32,arrivals,2024,1134712.3295485594,Single
PL33,arrivals,2024,602223.7441537129,Single
PL34,arrivals,2024,665705.1416045779,Single
PLZZ,arrivals,2024,70468.80523915612,Single
PT16,arrivals,2024,4515387.430570054,Single
PT17,arrivals,2024,8171350.353275477,Single
PT18,arrivals,2024,1891176.9038397758,Single
TR10,arrivals,2024,13646290.589106496,Single
TR21,arrivals,2024,1217851.7635205702,Single
TR22,arrivals,2024,2270921.3600592297,Single
TR33,arrivals,2024,1976192.2687659399,Single
TR51,arrivals,2024,2436129.1798199387,Single
TR52,arrivals,2024,1242151.2146208335,Single
TR63,arrivals,2024,688896.3899358123,Single
TR72,arrivals,2024,1000059.5049590671,Single
TR81,arrivals,2024,679413.8505410987,Single
TR82,arrivals,2024,508095.9304705113,Single
TR90,arrivals,2024,2346594.0929337544,Single
TRA1,arrivals,2024,773922.0046007715,Single
TRA2,arrivals,2024,476563.3644006845,Single
TRB2,arrivals,2024,802528.1227255171,Single
TRC1,arrivals,2024,1183080.8375135122,Single
TRC2,arrivals,2024,1106436.1605206113,Single
TRC3,arrivals,2024,798966.2472934761,Single
UKC1,arrivals,2024,745216.5710583994,Single
UKC2,arrivals,2024,2220825.8482923335,Single
UKD1,arrivals,2024,3024797.2991406014,Single
UKD3,arrivals,2024,3421423.085022548,Single
UKD4,arrivals,2024,2434586.6495776903,Single
UKD6,arrivals,2024,1479022.0133721794,Single
UKD7,arrivals,2024,1885050.6376231955,Single
UKE1,arrivals,2024,1176623.2890014672,Single
UKE2,arrivals,2024,4277096.08125392,Single
UKE3,arrivals,2024,1337858.7066264371,Single
UKE4,arrivals,2024,2100603.4377842974,Single
UKF1,arrivals,2024,2557295.625462824,Single
UKF2,arrivals,2024,2125401.8980953395,Single
UKF3,arrivals,2024,1779196.562126278,Single
UKG1,arrivals,2024,1494415.9815916829,Single
UKG2,arrivals,2024,2030546.4480983152,Single
UKG3,arrivals,2024,4000325.7670754576,Single
UKH1,arrivals,2024,4967377.076305438,Single
UKH2,arrivals,2024,2192483.533001191,Single
UKH3,arrivals,2024,1518209.1084985563,Single
UKI1,arrivals,2024,12961024.810020072,Single
UKI2,arrivals,2024,4222199.513813663,Single
UKI3,arrivals,2024,5696033.784213511,Single
UKI4,arrivals,2024,6259694.0856867395,Single
UKI5,arrivals,2024,4539836.825666788,Single
UKI6,arrivals,2024,3056889.2558548367,Single
UKI7,arrivals,2024,1980863.3231184941,Single
UKJ1,arrivals,2024,4273175.878289089,Single
UKJ2,arrivals,2024,5150518.742501303,Single
UKJ3,arrivals,2024,3465837.885117178,Single
UKJ4,arrivals,2024,2871384.2882221127,Single
UKK1,arrivals,2024,4723103.723452356,Single
UKK2,arrivals,2024,4254821.381749877,Single
UKK3,arrivals,2024,3491860.9606610034,Single
UKK4,arrivals,2024,4073990.5350287687,Single
UKL1,arrivals,2024,5791273.260969272,Single
UKL2,arrivals,2024,2517522.519057068,Single
UKM2,arrivals,2024,4915970.595303325,Single
UKM3,arrivals,2024,3543954.1014841814,Single
UKM5,arrivals,2024,1084560.7232735404,Single
UKM6,arrivals,2024,1672388.6871427498,Single
UKN0,arrivals,2024,1321871.4227687693,Single
ATZZ,arrivals_per_km2,2024,3.3144273066570804,Single
DKZZ,arrivals_per_km2,2024,3.3144273066570804,Single
ESZZ,arrivals_per_km2,2024,3.3144273066570804,Single
FR21,arrivals_per_km2,2024,98.36335100313748,Single
FR22,arrivals_per_km2,2024,140.66192124482723,Single
FR23,arrivals_per_km2,2024,196.5065714950722,Single
FR24,arrivals_per_km2,2024,140.55678136651215,Single
FR25,arrivals_per_km2,2024,237.2697280689032,Single
FR26,arrivals_per_km2,2024,142.62226083379417,Single
FR3,arrivals_per_km2,2024,370.04331140586413,Single
FR30,arrivals_per_km2,2024,370.04331140586413,Single
FR41,arrivals_per_km2,2024,155.58638976020515,Single
FR42,arrivals_per_km2,2024,570.1928931851971,Single
FR43,arrivals_per_km2,2024,124.97371469613071,Single
FR51,arrivals_per_km2,2024,232.0634927703016,Single
FR52,arrivals_per_km2,2024,276.15256342929587,Single
FR53,arrivals_per_km2,2024,192.52569218110457,Single
FR61,arrivals_per_km2,2024,242.07674652444513,Single
FR62,arrivals_per_km2,2024,144.93000603855322,Single
FR63,arrivals_per_km2,2024,78.810166497868,Single
FR71,arrivals_per_km2,2024,377.0341059728962,Single
FR72,arrivals_per_km2,2024,125.92930546798954,Single
FR81,arrivals_per_km2,2024,326.9755980022642,Single
FR82,arrivals_per_km2,2024,528.449113347514,Single
FR83,arrivals_per_km2,2024,303.7226068845716,Single
FRA1,arrivals_per_km2,2024,190.71584604914503,Single
FRA2,arrivals_per_km2,2024,250.95244313001814,Single
FRA3,arrivals_per_km2,2024,4.15231978768149,Single
