geo,indicator,forecast_year,forecast_value,model_used
ATZZ,arrivals,2024,18320.266728312243,Single
DKZZ,arrivals,2024,18320.266728312243,Single
ESZZ,arrivals,2024,18320.266728312243,Single
FR21,arrivals,2024,2221288.2399224467,Single
FR22,arrivals,2024,2308983.8595689237,Single
FR23,arrivals,2024,2290293.7042425456,Single
FR24,arrivals,2024,4917118.985872399,Single
FR25,arrivals,2024,3734653.305486469,Single
FR26,arrivals,2024,4234149.510091675,Single
FR3,arrivals,2024,4198760.706817019,Single
FR30,arrivals,2024,4198760.706817019,Single
FR41,arrivals,2024,3183742.473498436,Single
FR42,arrivals,2024,4406888.7531435955,Single
FR43,arrivals,2024,1759836.754554431,Single
FR51,arrivals,2024,6831813.636149978,Single
FR52,arrivals,2024,6662832.140437985,Single
FR53,arrivals,2024,4589895.499009177,Single
FR61,arrivals,2024,9081646.227345789,Single
FR62,arrivals,2024,6051509.362722479,Single
FR63,arrivals,2024,1230335.6900315788,Single
FR71,arrivals,2024,15032699.120845178,Single
FR72,arrivals,2024,2908799.173883259,Single
FR81,arrivals,2024,8064978.505400348,Single
FR82,arrivals,2024,14625907.353939965,Single
FR83,arrivals,2024,2332374.2122493526,Single
FRA1,arrivals,2024,319088.2071032838,Single
FRA2,arrivals,2024,252654.2428276991,Single
FRA3,arrivals,2024,158633.90376281377,Single
FRA4,arrivals,2024,541608.7696951639,Single
FRA5,arrivals,2024,34708.92892524185,Single
FRZZ,arrivals,2024,18320.266728312243,Single
HR04,arrivals,2024,2461138.513712689,Single
HU10,arrivals,2024,4435483.4985325765,Single
HUZZ,arrivals,2024,18320.266728312243,Single
IE01,arrivals,2024,2642909.9520748807,Single
IE02,arrivals,2024,7397819.772206735,Single
IS00,arrivals,2024,6504518.841318939,Single
ITZZ,arrivals,2024,18320.266728312243,Single
LT00,arrivals,2024,2896936.399733937,Single
MTZZ,arrivals,2024,18320.266728312243,Single
NL31,arrivals,2024,2075181.0736199548,Single
NL33,arrivals,2024,6178228.568341939,Single
NLZZ,arrivals,2024,18320.266728312243,Single
NOZZ,arrivals,2024,18320.266728312243,Single
PL11,arrivals,2024,1218838.6483362939,Single
PL12,arrivals,2024,4579300.951794723,Single
PL31,arrivals,2024,911739.1853770108,Single
PL32,arrivals,2024,1097394.0340971188,Single
PL33,arrivals,2024,600286.8633074258,Single
PL34,arrivals,2024,637562.0332091558,Single
PLZZ,arrivals,2024,18320.266728312243,Single
PT16,arrivals,2024,4578114.861140108,Single
PT17,arrivals,2024,8517312.206550954,Single
PT18,arrivals,2024,1891682.1826795517,Single
TR10,arrivals,2024,13188401.178212993,Single
TR21,arrivals,2024,1266180.6520411405,Single
TR22,arrivals,2024,2299448.22011846,Single
TR33,arrivals,2024,1927102.53753188,Single
