indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
arrivals,4.990567906208841,4.990567906208841,419364.28204708867,419364.28204708867,233566.58969155845,233566.58969155845,0.9917991418290643,0.9917991418290643,0,Single
arrivals_per_km2,4.8133505688308,4.8133505688308,292.3527121616154,292.3527121616154,63.00551495559496,63.00551495559496,0.9891991369583789,0.9891991369583789,0,Single
arrivals_per_person,4.868715404955987,4.868715404955987,0.37960332698382365,0.37960332698382365,0.13199649893773072,0.13199649893773072,0.9873648351660999,0.9873648351660999,0,Single
bed_places,5.302058666681446,5.302058666681446,18089.06833371175,18089.06833371175,4773.241559709822,4773.241559709822,0.9828873642485535,0.9828873642485535,0,Single
bed_places_per_1k_persons,5.905825379657937,5.905825379657937,19.16814846904765,19.16814846904765,4.702612694381118,4.702612694381118,0.9764850781601999,0.9764850781601999,0,Single
bed_places_per_km2,5.412671070280569,5.412671070280569,3.312322591931678,3.312322591931678,0.8283539727446321,0.8283539727446321,0.9911913089123278,0.9911913089123278,0,Single
establishments,3.962039829651386,3.962039829651386,1806.9953565874168,1806.9953565874168,313.8657913703423,313.8657913703423,0.8329564010262267,0.8329564010262267,0,Single
establishments_per_1k_persons,3.9466673813629507,3.9466673813629507,0.5805350627462892,0.5805350627462892,0.1401712836847677,0.1401712836847677,0.9567443431326955,0.9567443431326955,0,Single
establishments_per_km2,3.846650991547676,3.846650991547676,0.14231127453153464,0.14231127453153464,0.02731599938477596,0.02731599938477596,0.9798240911710807,0.9798240911710807,0,Single
gfcf_sector_ghi,4.16159288787075,4.16159288787075,72.73061665979192,72.73061665979192,40.00624709092179,40.00624709092179,0.9979837797025402,0.9979837797025402,0,Single
nights_spent,4.517104392317747,4.517104392317747,1716544.1480696946,1716544.1480696946,658055.7702922078,658055.7702922078,0.9867303027695932,0.9867303027695932,0,Single
nights_spent_per_km2,4.41668345168241,4.41668345168241,720.7172065176183,720.7172065176183,158.81391523643586,158.81391523643586,0.993153242426072,0.993153242426072,0,Single
nights_spent_per_person,4.35629094695784,4.35629094695784,2.4311423773623386,2.4311423773623386,0.4817402466984537,0.4817402466984537,0.9760681562618413,0.9760681562618413,0,Single
short_stay,28.656293567010177,28.656293567010177,2145713.968750006,2145713.968750006,829897.9551542208,829897.9551542208,0.9132443342159784,0.9132443342159784,0,Single
short_stay_per_km2,28.44870425708258,28.44870425708258,481.5340595463607,481.5340595463607,110.12360410784434,110.12360410784434,0.9332951457809627,0.9332951457809627,0,Single
short_stay_per_person,27.584421136539316,27.584421136539316,0.7483267332565211,0.7483267332565211,0.35143875775399147,0.35143875775399147,0.9666385817181972,0.9666385817181972,0,Single
