geo,indicator,forecast_year,forecast_value,model_used
ATZZ,arrivals,2024,121745.336,Single
DKZZ,arrivals,2024,121745.336,Single
ESZZ,arrivals,2024,121745.336,Single
FR21,arrivals,2024,2.4720225e+06,Single
FR22,arrivals,2024,2.6633255e+06,Single
FR23,arrivals,2024,2.6668735e+06,Single
FR24,arrivals,2024,5.2843465e+06,Single
FR25,arrivals,2024,4.422859e+06,Single
FR26,arrivals,2024,4.683263e+06,Single
FR3,arrivals,2024,4.686756e+06,Single
FR30,arrivals,2024,4.686756e+06,Single
FR41,arrivals,2024,3.694789e+06,Single
FR42,arrivals,2024,4.9070525e+06,Single
FR43,arrivals,2024,2.022778e+06,Single
FR51,arrivals,2024,7.6257375e+06,Single
FR52,arrivals,2024,7.6318335e+06,Single
FR53,arrivals,2024,5.0712955e+06,Single
FR61,arrivals,2024,9.925879e+06,Single
FR62,arrivals,2024,6.9429715e+06,Single
FR63,arrivals,2024,1.3882448e+06,Single
FR71,arrivals,2024,1.8693658e+07,Single
FR72,arrivals,2024,3.2325498e+06,Single
FR81,arrivals,2024,9.067624e+06,Single
FR82,arrivals,2024,1.8959586e+07,Single
FR83,arrivals,2024,2.7523695e+06,Single
FRA1,arrivals,2024,395961.97,Single
FRA2,arrivals,2024,405989.03,Single
FRA3,arrivals,2024,137639.33,Single
FRA4,arrivals,2024,481687.06,Single
FRA5,arrivals,2024,121745.336,Single
FRZZ,arrivals,2024,121745.336,Single
HR04,arrivals,2024,2.6513885e+06,Single
HU10,arrivals,2024,4.979416e+06,Single
HUZZ,arrivals,2024,121745.336,Single
IE01,arrivals,2024,2.7374328e+06,Single
IE02,arrivals,2024,8.3118715e+06,Single
IS00,arrivals,2024,6.410423e+06,Single
ITZZ,arrivals,2024,121745.336,Single
LT00,arrivals,2024,3.3427305e+06,Single
MTZZ,arrivals,2024,121745.336,Single
NL31,arrivals,2024,2.0822658e+06,Single
NL33,arrivals,2024,6.624697e+06,Single
NLZZ,arrivals,2024,121745.336,Single
NOZZ,arrivals,2024,121745.336,Single
PL11,arrivals,2024,1.2323311e+06,Single
PL12,arrivals,2024,4.9627325e+06,Single
PL31,arrivals,2024,980788.1,Single
PL32,arrivals,2024,1.1661295e+06,Single
PL33,arrivals,2024,595528.75,Single
PL34,arrivals,2024,660565.3,Single
PLZZ,arrivals,2024,121745.336,Single
PT16,arrivals,2024,4.6919795e+06,Single
PT17,arrivals,2024,7.898208e+06,Single
PT18,arrivals,2024,1.8475765e+06,Single
TR10,arrivals,2024,1.5137805e+07,Single
TR21,arrivals,2024,1.1774182e+06,Single
TR22,arrivals,2024,2.2578618e+06,Single
TR33,arrivals,2024,2.0037192e+06,Single
TR51,arrivals,2024,2.457779e+06,Single
TR52,arrivals,2024,1.2521282e+06,Single
TR63,arrivals,2024,900093.75,Single
TR72,arrivals,2024,1.0562206e+06,Single
TR81,arrivals,2024,672452.4,Single
TR82,arrivals,2024,536056.94,Single
TR90,arrivals,2024,2.229419e+06,Single
TRA1,arrivals,2024,708350.56,Single
TRA2,arrivals,2024,496713.03,Single
TRB2,arrivals,2024,754712.2,Single
TRC1,arrivals,2024,1.1970898e+06,Single
TRC2,arrivals,2024,1.1551332e+06,Single
TRC3,arrivals,2024,733595.44,Single
UKC1,arrivals,2024,751975.4,Single
UKC2,arrivals,2024,2.316301e+06,Single
UKD1,arrivals,2024,3.2678748e+06,Single
UKD3,arrivals,2024,3.7562325e+06,Single
UKD4,arrivals,2024,2.4775678e+06,Single
UKD6,arrivals,2024,1.5348198e+06,Single
UKD7,arrivals,2024,2.039953e+06,Single
UKE1,arrivals,2024,1.1990715e+06,Single
UKE2,arrivals,2024,4.708343e+06,Single
UKE3,arrivals,2024,1.4127268e+06,Single
UKE4,arrivals,2024,2.176935e+06,Single
UKF1,arrivals,2024,2.6893562e+06,Single
UKF2,arrivals,2024,2.2131482e+06,Single
UKF3,arrivals,2024,1.7687338e+06,Single
UKG1,arrivals,2024,1.5323905e+06,Single
UKG2,arrivals,2024,2.0981162e+06,Single
UKG3,arrivals,2024,4.5485945e+06,Single
UKH1,arrivals,2024,5.2040365e+06,Single
UKH2,arrivals,2024,2.315379e+06,Single
UKH3,arrivals,2024,1.5383322e+06,Single
UKI1,arrivals,2024,1.6904972e+07,Single
UKI2,arrivals,2024,4.652815e+06,Single
UKI3,arrivals,2024,6.5341215e+06,Single
UKI4,arrivals,2024,7.5654965e+06,Single
UKI5,arrivals,2024,4.6234015e+06,Single
UKI6,arrivals,2024,3.2011522e+06,Single
UKI7,arrivals,2024,2.201772e+06,Single
UKJ1,arrivals,2024,4.769679e+06,Single
UKJ2,arrivals,2024,5.271282e+06,Single
UKJ3,arrivals,2024,3.7756722e+06,Single
UKJ4,arrivals,2024,3.0250065e+06,Single
UKK1,arrivals,2024,4.9868195e+06,Single
UKK2,arrivals,2024,4.4819215e+06,Single
UKK3,arrivals,2024,3.776586e+06,Single
UKK4,arrivals,2024,4.4802305e+06,Single
UKL1,arrivals,2024,6.6367585e+06,Single
UKL2,arrivals,2024,2.6976755e+06,Single
UKM2,arrivals,2024,5.0797675e+06,Single
UKM3,arrivals,2024,3.7941678e+06,Single
UKM5,arrivals,2024,1.1801269e+06,Single
UKM6,arrivals,2024,1.7721234e+06,Single
UKN0,arrivals,2024,1.459134e+06,Single
ATZZ,arrivals_per_km2,2024,3.1886601,Single
DKZZ,arrivals_per_km2,2024,3.1886601,Single
ESZZ,arrivals_per_km2,2024,3.1886601,Single
FR21,arrivals_per_km2,2024,110.65126,Single
FR22,arrivals_per_km2,2024,152.64288,Single
FR23,arrivals_per_km2,2024,205.4526,Single
FR24,arrivals_per_km2,2024,152.49005,Single
FR25,arrivals_per_km2,2024,254.7706,Single
FR26,arrivals_per_km2,2024,149.06853,Single
FR3,arrivals_per_km2,2024,393.4115,Single
FR30,arrivals_per_km2,2024,393.4115,Single
FR41,arrivals_per_km2,2024,158.64175,Single
FR42,arrivals_per_km2,2024,582.20123,Single
FR43,arrivals_per_km2,2024,123.15965,Single
FR51,arrivals_per_km2,2024,238.54816,Single
FR52,arrivals_per_km2,2024,282.65494,Single
FR53,arrivals_per_km2,2024,200.81252,Single
FR61,arrivals_per_km2,2024,253.07953,Single
FR62,arrivals_per_km2,2024,151.75478,Single
FR63,arrivals_per_km2,2024,82.49128,Single
FR71,arrivals_per_km2,2024,393.7222,Single
FR72,arrivals_per_km2,2024,124.987274,Single
FR81,arrivals_per_km2,2024,326.39578,Single
FR82,arrivals_per_km2,2024,539.815,Single
FR83,arrivals_per_km2,2024,320.27423,Single
FRA1,arrivals_per_km2,2024,201.09105,Single
FRA2,arrivals_per_km2,2024,253.35295,Single
FRA3,arrivals_per_km2,2024,3.1886601,Single
FRA4,arrivals_per_km2,2024,225.50317,Single
FRA5,arrivals_per_km2,2024,54.119797,Single
FRZZ,arrivals_per_km2,2024,3.1886601,Single
HR04,arrivals_per_km2,2024,85.85366,Single
HU10,arrivals_per_km2,2024,690.8582,Single
HUZZ,arrivals_per_km2,2024,3.1886601,Single
IE01,arrivals_per_km2,2024,86.88577,Single
IE02,arrivals_per_km2,2024,206.54169,Single
IS00,arrivals_per_km2,2024,54.894276,Single
ITZZ,arrivals_per_km2,2024,3.1886601,Single
LT00,arrivals_per_km2,2024,54.750374,Single
MTZZ,arrivals_per_km2,2024,3.1886601,Single
