indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
gdp_eur_hab,5.077029781897373,4.935028469750204,5271.669833505158,4442.652706866909,1642.7064435040509,1659.2837456597222,0.9389545120882278,0.9566447301419683,-0.14200131214716916,Single
gdp_mio_eur,8.317974297271071,9.506563906541475,21668.09060909284,20131.501144832313,5632.572048521878,6059.585935090718,0.9361891407892295,0.9449185167373321,1.1885896092704031,Multi
gfcf,22.447361971745266,16.726862503745444,1419.0442623583065,1424.1020534022848,1170.5692049560548,965.3792238769532,0.9449196260679398,0.9445262888070384,-5.720499467999823,Single
gva,8.891270689658393,8.282789299998687,18881.519481964242,20247.157854650253,5424.885827717028,5618.225193492153,0.9402410874964886,0.9312841471329745,-0.6084813896597054,Single
gva_sector_a,13.912162963500197,12.967106558323009,242.43094673333692,254.63633640020117,147.85647976345484,132.75118770315,0.9462406937437947,0.9406913149684427,-0.9450564051771887,Single
gva_sector_bde,11.336465053098879,11.400578669368306,1280.6569483418336,1277.068640582556,831.7582115576002,792.4976211208768,0.9794001572740854,0.9795154340753378,0.06411361626942752,Multi
gva_sector_c,28.57589691397036,20.633594353997264,1251.9607382840893,1333.6912221216855,691.8250479915225,771.3585855277038,0.9430105789604989,0.9353269397801921,-7.942302559973097,Single
gva_sector_f,17.416919055284513,16.555065322710952,1148.1206153348123,1088.059482885794,420.1372971816194,405.1255017259384,0.9027428721314505,0.9126522571885314,-0.8618537325735615,Single
gva_sector_ghi,9.322796971130485,10.28124189410117,2463.379129607408,2508.2009301956227,1169.9996804169684,1221.573098977612,0.9603518553577136,0.9588959133044314,0.9584449229706846,Multi
gva_sector_ghij,10.189269956460354,10.392870413122244,12689.57881360468,8711.964673509345,3402.3597039455835,2773.879803885635,0.7266845231063936,0.871174445189979,0.20360045666189125,Multi
gva_sector_j,16.556102780037445,10.534430761049766,1284.37291092214,644.0782745743436,378.77878857520324,291.9064503194824,0.8961417857327486,0.9738822429826305,-6.021672018987681,Single
gva_sector_k,20.50713172307731,16.20135922885631,1995.676470951151,1281.6252234063238,760.1957597301853,519.71976870183,0.8203353989988972,0.9259023669230461,-4.305772494221002,Single
gva_sector_klmn,9.783373618311062,6.525657822773495,4428.871538530181,3885.9250580808352,1873.4330704413524,1341.6011485772663,0.938605697976824,0.9527359709277592,-3.2577157955375675,Single
gva_sector_l,9.475355942639808,8.776339585177618,1885.979242012006,2194.798382378658,632.6189397208921,680.0071939636044,0.8994090710235769,0.8637695268221455,-0.6990163574621899,Single
gva_sector_mn,13.327102637313237,9.361651374759031,1255.9328586255199,579.4852457375353,587.8763188897409,310.8943921778279,0.9609019088843492,0.9916764714350202,-3.9654512625542067,Single
gva_sector_opq,10.242925070789695,20.113877380962695,624.6740263673066,896.1615986979572,390.94520126342763,536.5968677902222,0.981523971148698,0.9619745471556249,9.870952310173,Multi
gva_sector_opqrstu,16.616157204078853,13.022155864765427,924.9025458093287,2450.7974458165945,559.9627732065562,815.9247770979598,0.9904224775665033,0.9327525119695976,-3.594001339313424,Single
gva_sector_rstu,11.15085247228127,9.96448391555815,1435.8155608147863,1339.7955462610585,411.75726125409517,366.48696595802176,0.6905305545128053,0.7305380025144441,-1.1863685567231206,Single
